county,inperson CST,inperson DEM,inperson GRN,inperson LIB,inperson REP,inperson UNA,inperson Female,inperson Male,inperson Undesignated gender,inperson total,inperson AIAN,inperson Asian,inperson Black,inperson Multiracial,inperson NHPI,inperson Other,inperson Undesignated race,inperson White,bymail CST,bymail DEM,bymail GRN,bymail LIB,bymail REP,bymail UNA,bymail Female,bymail Male,bymail Undesignated gender,bymail total,bymail AIAN,bymail Asian,bymail Black,bymail Multiracial,bymail NHPI,bymail Other,bymail Undesignated race,bymail White,Asian,Black,AIAN,Multiracial,Other Race,NHPI,Undesignated Race,White,Latino,Not Latino,Undesignated Ethnicity,CST,DEM,GRN,LIB,REP,Unaffiliated,Female,Male,Undesignated Gender,Total Registered Voters
Alamance,10,15587,7,180,16167,11301,22556,17352,3344,43252,112,286,9076,216,2,811,4116,28633,5,6364,2,43,3003,3928,7282,5080,983,13345,27,154,2211,73,0,259,1270,9351,884,21656,271,787,2675,7,12524,71323,4304,76499,29324,63,38879,31,654,35915,34585,55252,45019,9856,110127
Alexander,5,2442,1,34,6859,3701,6496,5793,753,13042,17,40,455,16,1,68,824,11621,0,649,0,3,483,472,849,647,111,1607,1,11,87,2,0,10,136,1360,146,928,37,43,250,1,1785,21583,347,20430,3996,21,5091,3,108,11678,7872,12015,11178,1580,24773
Alleghany,0,1015,0,10,1620,1038,1792,1623,268,3683,3,1,35,4,0,14,287,3339,0,317,1,2,173,175,357,273,38,668,0,1,11,1,0,5,49,601,5,76,8,16,72,0,634,6745,189,5852,1515,2,2155,4,34,2943,2418,3651,3364,541,7556
Anson,7,3786,0,6,1000,1071,2978,2093,799,5870,8,16,2734,6,0,18,808,2280,0,486,1,1,77,140,342,254,109,705,2,4,297,0,0,5,110,287,77,6829,28,24,120,0,2732,6720,84,11683,4763,24,10030,8,35,2789,3644,7557,6296,2677,16530
Ashe,9,1611,0,19,3464,2115,3690,3161,367,7218,9,17,34,6,0,40,499,6613,0,752,0,4,559,499,991,741,82,1814,2,6,4,2,0,8,108,1684,40,110,24,20,110,0,1283,17827,235,15826,3353,16,4505,5,87,8778,6023,9701,8708,1005,19414
Avery,4,453,2,10,2438,1145,2019,1726,307,4052,4,2,4,5,0,22,373,3642,0,198,2,3,347,257,424,336,47,807,3,0,2,4,0,6,69,723,18,73,19,29,78,0,958,11123,89,9413,2796,9,1429,6,60,7115,3679,6062,5481,755,12298
Beaufort,4,5085,6,28,5590,3806,7639,5981,899,14519,16,12,3227,21,0,119,885,10239,1,1281,3,9,591,791,1427,1045,204,2676,3,7,581,8,0,22,205,1850,41,7720,40,94,469,0,2353,23064,484,24860,8437,19,11878,16,112,11913,9843,17002,14448,2331,33781
Bertie,0,4155,0,13,669,1158,3369,2368,258,5995,7,10,3542,8,1,13,275,2139,0,515,0,0,54,85,376,250,28,654,0,4,435,0,0,5,30,180,35,7702,19,26,54,1,776,4600,40,9965,3208,3,8685,3,39,1609,2874,6942,5551,720,13213
Bladen,1,5021,1,13,2322,3028,5639,4434,313,10386,105,11,3776,29,0,87,409,5969,0,718,0,2,192,272,625,501,58,1184,25,0,408,6,0,16,80,649,22,7977,407,91,357,0,1248,12684,447,16732,5607,7,10723,5,64,4929,7058,11824,10067,895,22786
Brunswick,19,11115,10,168,23595,16822,25502,21513,4714,51729,122,133,3766,79,1,390,4984,42254,1,6228,3,40,4279,6202,8621,6882,1250,16753,28,68,932,36,0,128,1347,14214,355,8684,342,289,1330,2,10934,92179,1418,72742,39955,51,27145,29,586,45090,41214,55599,48302,10214,114115
Buncombe,26,35292,81,408,22713,31675,45350,37649,7196,90195,120,457,4161,453,21,1527,8467,74989,7,17073,25,98,3664,11006,17421,12423,2029,31873,41,250,1044,140,0,484,2654,27260,1268,10769,377,1280,4198,32,19729,168525,4096,132096,69986,113,77446,245,1652,47123,79599,102498,87246,16434,206178
Burke,19,6896,6,89,12089,7837,13598,11807,1531,26936,40,128,1425,48,0,255,1650,23390,1,2119,3,17,1149,1297,2429,1847,310,4586,7,87,299,8,0,53,326,3806,869,3209,88,134,1045,0,4268,48235,991,45771,11086,46,15349,31,331,22394,19697,28398,25560,3890,57848
Cabarrus,30,18459,14,318,24939,18455,30678,25097,6440,62215,131,853,11740,289,2,1194,7510,40496,5,7162,15,78,4315,6023,9100,6834,1664,17598,45,577,2963,109,0,427,2076,11401,2463,27375,364,854,4196,2,19212,95118,5505,98561,45518,110,44521,75,1099,52084,51695,72227,61388,15969,149584
