county,inperson CST,inperson DEM,inperson GRN,inperson LIB,inperson REP,inperson UNA,inperson Female,inperson Male,inperson Undesignated gender,inperson total,inperson AIAN,inperson Asian,inperson Black,inperson Multiracial,inperson NHPI,inperson Other,inperson Undesignated race,inperson White,bymail CST,bymail DEM,bymail GRN,bymail LIB,bymail REP,bymail UNA,bymail Female,bymail Male,bymail Undesignated gender,bymail total,bymail AIAN,bymail Asian,bymail Black,bymail Multiracial,bymail NHPI,bymail Other,bymail Undesignated race,bymail White,Asian,Black,AIAN,Multiracial,Other Race,NHPI,Undesignated Race,White,Latino,Not Latino,Undesignated Ethnicity,CST,DEM,GRN,LIB,REP,Unaffiliated,Female,Male,Undesignated Gender,Total Registered Voters
Alamance,18,17677,9,223,19223,13514,26162,20404,4098,50664,124,345,10246,265,3,1008,5088,33585,5,6653,2,45,3232,4233,7701,5391,1078,14170,29,171,2303,79,0,281,1378,9929,884,21656,271,787,2675,7,12524,71323,4304,76499,29324,63,38879,31,654,35915,34585,55252,45019,9856,110127
Alexander,9,2654,2,42,7633,4156,7164,6446,886,14496,18,43,484,18,1,83,984,12865,0,672,0,4,506,493,890,668,117,1675,1,11,95,2,0,11,146,1409,146,928,37,43,250,1,1785,21583,347,20430,3996,21,5091,3,108,11678,7872,12015,11178,1580,24773
Alleghany,0,1116,1,10,1848,1199,2005,1833,336,4174,4,1,37,5,0,17,357,3753,0,326,1,2,188,189,373,285,48,706,0,1,11,1,0,5,59,629,5,76,8,16,72,0,634,6745,189,5852,1515,2,2155,4,34,2943,2418,3651,3364,541,7556
Anson,7,4176,0,8,1155,1248,3319,2361,914,6594,8,16,2997,7,0,22,921,2623,0,512,1,1,88,150,363,269,120,752,2,4,312,0,0,6,118,310,77,6829,28,24,120,0,2732,6720,84,11683,4763,24,10030,8,35,2789,3644,7557,6296,2677,16530
Ashe,9,1848,0,21,3998,2472,4226,3659,463,8348,9,19,36,6,0,45,612,7621,0,785,0,5,587,528,1038,779,88,1905,2,6,4,2,0,8,116,1767,40,110,24,20,110,0,1283,17827,235,15826,3353,16,4505,5,87,8778,6023,9701,8708,1005,19414
Avery,6,506,2,15,2883,1345,2351,2012,394,4757,6,3,7,5,0,25,470,4241,0,210,2,3,379,271,459,354,52,865,3,0,3,4,0,6,75,774,18,73,19,29,78,0,958,11123,89,9413,2796,9,1429,6,60,7115,3679,6062,5481,755,12298
Beaufort,8,5707,8,37,6583,4370,8729,6899,1085,16713,19,14,3632,24,0,149,1095,11780,2,1313,3,10,612,804,1461,1072,211,2744,3,7,599,8,0,22,209,1896,41,7720,40,94,469,0,2353,23064,484,24860,8437,19,11878,16,112,11913,9843,17002,14448,2331,33781
Bertie,0,4585,0,15,807,1353,3754,2690,316,6760,8,13,3884,12,1,14,338,2490,0,545,0,0,59,91,397,261,37,695,0,4,457,0,0,5,36,193,35,7702,19,26,54,1,776,4600,40,9965,3208,3,8685,3,39,1609,2874,6942,5551,720,13213
Bladen,2,5578,1,16,2660,3449,6322,4995,389,11706,128,12,4173,31,1,111,503,6747,0,755,0,4,203,293,662,529,64,1255,27,0,429,6,0,18,86,689,22,7977,407,91,357,0,1248,12684,447,16732,5607,7,10723,5,64,4929,7058,11824,10067,895,22786
Brunswick,24,12294,12,219,26851,19215,28596,24230,5789,58615,141,141,4267,99,1,455,6076,47435,1,6408,3,42,4498,6450,8936,7132,1334,17402,30,75,962,38,0,133,1439,14725,355,8684,342,289,1330,2,10934,92179,1418,72742,39955,51,27145,29,586,45090,41214,55599,48302,10214,114115
Buncombe,32,38576,102,538,26000,36459,50791,42389,8527,101707,128,528,4661,518,23,1764,10033,84052,7,17795,30,121,3964,11857,18386,13117,2271,33774,48,266,1105,151,1,535,2930,28738,1268,10769,377,1280,4198,32,19729,168525,4096,132096,69986,113,77446,245,1652,47123,79599,102498,87246,16434,206178
Burke,20,7558,7,108,13502,8982,15158,13183,1836,30177,42,169,1598,56,0,308,1976,26028,1,2216,3,19,1232,1410,2582,1948,351,4881,7,93,313,9,0,58,370,4031,869,3209,88,134,1045,0,4268,48235,991,45771,11086,46,15349,31,331,22394,19697,28398,25560,3890,57848
Cabarrus,40,20790,17,390,28930,21762,35199,28924,7806,71929,156,1015,13199,326,4,1438,9129,46662,5,7560,15,91,4683,6591,9773,7304,1868,18945,53,632,3126,115,0,477,2321,12221,2463,27375,364,854,4196,2,19212,95118,5505,98561,45518,110,44521,75,1099,52084,51695,72227,61388,15969,149584
Caldwell,12,5322,8,130,16448,7712,14756,13180,1696,29632,27,72,1283,51,0,237,1905,26057,1,1695,0,14,1578,1284,2434,1813,325,4572,2,22,218,13,0,38,371,3908,169,2703,63,142,707,0,3984,46379,909,43571,9667,34,11340,38,383,26076,16276,26525,24134,3488,54147
Camden,0,852,1,16,1326,1567,1891,1669,202,3762,5,12,514,2,1,39,218,2971,0,157,0,5,114,197,246,195,32,473,2,1,80,4,0,10,40,336,36,966,11,20,111,0,514,6470,36,3340,4752,2,1753,2,61,2866,3444,3948,3729,451,8128
Carteret,9,5121,2,109,14204,8686,13917,12004,2210,28131,35,100,1079,50,3,167,2355,24342,1,1774,5,15,1337,1618,2455,1908,387,4750,7,35,227,16,0,44,445,3976,223,2217,85,152,394,3,4567,44048,523,40254,10912,30,10090,14,281,23391,17883,25133,22258,4298,51689
Caswell,2,3224,0,9,1654,1769,3488,2826,344,6658,12,12,2397,21,1,50,376,3789,0,690,0,2,238,289,670,479,70,1219,1,0,420,9,0,10,91,688,22,4818,21,52,138,0,1156,9195,170,11422,3810,9,6897,4,47,3856,4589,7681,6703,1018,15402
Catawba,25,10163,10,200,27925,16356,27465,23443,3771,54679,48,530,4033,139,1,870,4204,44854,6,3405,7,36,2891,3223,5008,3733,827,9568,8,205,651,29,0,239,904,7532,2118,8985,124,401,3117,2,9470,83881,3524,81814,22760,65,23053,32,562,47164,37222,52836,46880,8382,108098
Chatham,8,10933,6,140,8029,10869,14388,12199,3398,29985,56,305,3476,117,1,542,3832,21656,4,5457,6,23,1533,4537,5880,4419,1261,11560,21,264,585,55,0,184,1396,9055,723,6058,122,287,1280,1,7426,41758,1801,38434,17420,24,21260,21,293,14040,22017,27624,23569,6462,57655
Cherokee,3,1464,3,24,4913,2702,4724,4225,160,9109,50,28,73,14,0,67,372,8505,1,656,0,9,663,598,1071,830,26,1927,14,12,19,3,0,8,79,1792,79,235,134,41,166,0,894,21048,191,18698,3708,10,4277,11,127,10842,7330,11650,10565,382,22597
Chowan,1,2210,0,15,1766,1551,3003,2373,167,5543,7,9,1453,7,1,24,262,3780,1,437,0,3,142,186,440,297,32,769,0,2,209,0,0,4,49,505,19,3035,13,23,73,2,601,6496,68,7712,2482,3,4202,3,34,2881,3139,5475,4415,372,10262
Clay,4,720,1,22,2157,1372,2157,1930,189,4276,6,6,9,5,0,12,225,4013,0,249,0,2,211,260,391,288,43,722,2,1,8,0,0,6,49,656,12,43,16,6,50,0,503,8482,67,7054,1991,5,1641,3,62,4156,3245,4531,4151,430,9112
Cleveland,20,11300,5,109,14176,8667,17498,14230,2549,34277,41,104,6651,74,2,212,2785,24408,4,2538,1,18,1345,1301,2807,2051,349,5207,10,43,964,22,0,46,424,3698,244,13629,97,253,714,1,5678,46552,704,52757,13707,50,22980,18,341,24550,19229,33482,28569,5117,67168
Columbus,5,7375,0,14,4460,3900,8469,6469,816,15754,354,17,4744,24,0,105,883,9627,0,1164,0,4,302,386,1037,733,86,1856,73,5,669,4,0,13,101,991,56,10784,948,98,411,0,2237,22108,312,29201,7129,19,16857,7,92,9332,10335,18833,15788,2021,36642
Craven,13,10065,16,168,14479,9295,17788,14329,1919,34036,72,381,6569,121,6,491,2128,24268,1,3667,4,33,2030,2746,4577,3403,501,8481,17,154,1663,28,0,146,625,5848,959,14786,166,359,1679,3,5304,49386,1698,56030,14914,43,21905,42,493,26466,23693,37080,30917,4645,72642
Cumberland,69,44310,30,430,24712,24223,49246,35801,8727,93774,902,1057,39480,907,33,3553,8907,38935,14,11541,12,131,3556,5741,10805,8060,2130,20995,184,529,8335,254,1,917,2555,8220,3241,88298,2369,2703,11461,26,26342,90589,12896,139747,72386,188,97332,102,1689,51916,73802,110664,89076,25289,225029
Currituck,7,1417,0,47,3565,3246,4093,3755,434,8282,22,23,494,22,2,100,531,7088,0,373,1,9,325,458,603,509,54,1166,2,3,68,3,0,17,82,991,57,1096,48,82,296,1,1369,18854,167,8556,13080,15,3653,14,197,8839,9085,10559,10050,1194,21803
Dare,5,3817,10,79,5194,5555,7333,6467,860,14660,18,44,282,32,1,149,966,13168,1,1431,2,11,757,1316,1880,1445,193,3518,2,14,30,5,0,27,251,3189,91,525,37,62,370,0,2174,26694,250,14612,15091,15,7830,22,208,10042,11836,14736,13305,1912,29953
Davidson,27,9541,9,162,31105,14024,27256,23670,3942,54868,101,197,4031,80,1,510,4667,45281,2,3908,4,35,3930,2884,5772,4323,668,10763,18,79,1046,24,0,128,790,8678,654,10288,259,304,1746,4,10805,88812,2208,82770,27894,70,23933,39,558,54263,34009,55171,48664,9037,112872
Davie,9,2403,5,60,9417,4534,8121,7144,1163,16428,16,50,893,34,0,138,1533,13764,2,823,0,18,1125,956,1535,1143,246,2924,2,21,170,7,0,23,330,2371,104,1880,36,83,365,1,3115,25761,562,23800,6983,26,5112,10,158,16159,9880,15239,13748,2358,31345
Duplin,5,5517,1,23,4333,3380,6997,5447,815,13259,20,22,3839,37,0,179,880,8282,0,832,1,4,264,337,773,555,110,1438,3,6,463,7,0,21,116,822,67,8477,52,123,922,1,2896,18058,1666,21029,7901,23,12514,6,115,9051,8887,15316,12939,2341,30596
Durham,31,65373,57,459,12805,33832,57522,41983,13052,112557,236,2644,39773,1259,12,2638,15448,50547,6,24705,25,151,3522,14934,22455,16459,4429,43343,98,1872,7542,445,2,1121,5753,26510,7975,78794,599,3404,7082,19,33888,111284,9887,150907,82251,79,131502,148,1277,26696,83343,120253,95328,27464,243045
Edgecombe,6,11841,6,22,3174,2002,9914,6501,636,17051,24,13,10131,36,0,113,723,6011,1,1424,1,1,237,222,1079,753,54,1886,1,6,1135,6,0,24,82,632,38,20488,73,131,428,0,2048,12149,448,26901,8006,15,23141,10,95,6351,5743,19025,14571,1759,35355
Forsyth,63,47532,43,535,38387,33359,61522,47231,11166,119919,188,1040,31181,652,5,2450,12120,72283,7,18763,23,109,8981,11453,21633,15384,2319,39336,57,580,7233,179,1,771,2751,27764,2832,69386,534,1901,7405,14,28330,160416,10916,187211,72691,158,106466,136,1587,76029,86442,135400,110328,25090,270818
Franklin,15,9030,6,119,8445,6584,11752,9660,2787,24199,60,76,6040,81,2,300,2887,14753,2,2036,2,19,847,1277,2085,1580,518,4183,12,32,849,20,0,74,566,2630,194,11114,133,208,860,0,5925,28848,1176,32774,13332,39,17304,23,299,14947,14670,22258,19535,5489,47282
Gaston,43,20235,19,350,35696,20549,39420,31574,5898,76892,140,462,11691,320,1,1154,6950,56174,8,6117,10,58,4371,4441,7968,5911,1126,15005,19,186,2317,70,0,336,1434,10643,1104,24811,333,784,3428,1,15132,105186,4135,111965,34679,135,42632,67,1006,59160,47779,74879,63076,12824,150779
Gates,1,1838,0,7,696,766,1723,1375,210,3308,9,5,1278,14,0,22,197,1783,0,317,0,1,80,111,272,198,39,509,0,1,183,3,0,1,34,287,11,2621,18,50,70,0,505,5019,45,5804,2445,5,3901,0,31,1950,2407,4127,3617,550,8294
Graham,3,672,0,8,1505,808,1511,1404,81,2996,97,3,3,2,1,17,100,2773,0,115,0,2,145,86,191,148,9,348,7,1,0,0,0,0,10,330,5,4,266,8,31,1,209,5514,21,5367,650,6,1408,0,24,2889,1711,3033,2833,172,6038
