ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
11/03/2020	REP	Republican Party	PRE	President of the United States	ALA	Alachua	   	 	63	63	Pence	Trump	 / 	50654
11/03/2020	REP	Republican Party	PRE	President of the United States	BAK	Baker	   	 	9	9	Pence	Trump	 / 	11911
11/03/2020	REP	Republican Party	PRE	President of the United States	BAY	Bay	   	 	44	0	Pence	Trump	 / 	16017
11/03/2020	REP	Republican Party	PRE	President of the United States	BRA	Bradford	   	 	14	14	Pence	Trump	 / 	10334
11/03/2020	REP	Republican Party	PRE	President of the United States	BRE	Brevard	   	 	171	165	Pence	Trump	 / 	202422
11/03/2020	REP	Republican Party	PRE	President of the United States	BRO	Broward	   	 	577	461	Pence	Trump	 / 	313904
11/03/2020	REP	Republican Party	PRE	President of the United States	CAL	Calhoun	   	 	11	0	Pence	Trump	 / 	3710
11/03/2020	REP	Republican Party	PRE	President of the United States	CHA	Charlotte	   	 	68	11	Pence	Trump	 / 	61430
11/03/2020	REP	Republican Party	PRE	President of the United States	CIT	Citrus	   	 	31	31	Pence	Trump	 / 	65230
11/03/2020	REP	Republican Party	PRE	President of the United States	CLA	Clay	   	 	47	35	Pence	Trump	 / 	82714
11/03/2020	REP	Republican Party	PRE	President of the United States	CLL	Collier	   	 	60	57	Pence	Trump	 / 	127980
11/03/2020	REP	Republican Party	PRE	President of the United States	CLM	Columbia	   	 	22	22	Pence	Trump	 / 	23819
11/03/2020	REP	Republican Party	PRE	President of the United States	DAD	Miami-Dade	   	 	866	415	Pence	Trump	 / 	487881
11/03/2020	REP	Republican Party	PRE	President of the United States	DES	Desoto	   	 	15	0	Pence	Trump	 / 	8292
11/03/2020	REP	Republican Party	PRE	President of the United States	DIX	Dixie	   	 	10	10	Pence	Trump	 / 	6757
11/03/2020	REP	Republican Party	PRE	President of the United States	DUV	Duval	   	 	199	195	Pence	Trump	 / 	232221
11/03/2020	REP	Republican Party	PRE	President of the United States	ESC	Escambia	   	 	80	73	Pence	Trump	 / 	92970
11/03/2020	REP	Republican Party	PRE	President of the United States	FLA	Flagler	   	 	26	26	Pence	Trump	 / 	42991
11/03/2020	REP	Republican Party	PRE	President of the United States	FRA	Franklin	   	 	8	0	Pence	Trump	 / 	4672
11/03/2020	REP	Republican Party	PRE	President of the United States	GAD	Gadsden	   	 	25	25	Pence	Trump	 / 	7461
11/03/2020	REP	Republican Party	PRE	President of the United States	GIL	Gilchrist	   	 	10	10	Pence	Trump	 / 	7893
11/03/2020	REP	Republican Party	PRE	President of the United States	GLA	Glades	   	 	13	11	Pence	Trump	 / 	3781
11/03/2020	REP	Republican Party	PRE	President of the United States	GUL	Gulf	   	 	10	10	Pence	Trump	 / 	6111
11/03/2020	REP	Republican Party	PRE	President of the United States	HAM	Hamilton	   	 	8	8	Pence	Trump	 / 	3811
11/03/2020	REP	Republican Party	PRE	President of the United States	HAR	Hardee	   	 	12	12	Pence	Trump	 / 	6120
11/03/2020	REP	Republican Party	PRE	President of the United States	HEN	Hendry	   	 	10	10	Pence	Trump	 / 	7898
11/03/2020	REP	Republican Party	PRE	President of the United States	HER	Hernando	   	 	32	32	Pence	Trump	 / 	70321
11/03/2020	REP	Republican Party	PRE	President of the United States	HIG	Highlands	   	 	25	23	Pence	Trump	 / 	34731
11/03/2020	REP	Republican Party	PRE	President of the United States	HIL	Hillsborough	   	 	390	370	Pence	Trump	 / 	322683
11/03/2020	REP	Republican Party	PRE	President of the United States	HOL	Holmes	   	 	8	0	Pence	Trump	 / 	7456
11/03/2020	REP	Republican Party	PRE	President of the United States	IND	Indian River	   	 	35	35	Pence	Trump	 / 	58553
11/03/2020	REP	Republican Party	PRE	President of the United States	JAC	Jackson	   	 	14	14	Pence	Trump	 / 	15466
11/03/2020	REP	Republican Party	PRE	President of the United States	JEF	Jefferson	   	 	16	16	Pence	Trump	 / 	4474
11/03/2020	REP	Republican Party	PRE	President of the United States	LAF	Lafayette	   	 	5	5	Pence	Trump	 / 	3126
11/03/2020	REP	Republican Party	PRE	President of the United States	LAK	Lake	   	 	104	102	Pence	Trump	 / 	125498
11/03/2020	REP	Republican Party	PRE	President of the United States	LEE	Lee	   	 	127	124	Pence	Trump	 / 	227457
11/03/2020	REP	Republican Party	PRE	President of the United States	LEO	Leon	   	 	156	143	Pence	Trump	 / 	56818
11/03/2020	REP	Republican Party	PRE	President of the United States	LEV	Levy	   	 	13	0	Pence	Trump	 / 	16721
11/03/2020	REP	Republican Party	PRE	President of the United States	LIB	Liberty	   	 	8	2	Pence	Trump	 / 	2256
11/03/2020	REP	Republican Party	PRE	President of the United States	MAD	Madison	   	 	11	0	Pence	Trump	 / 	5045
11/03/2020	REP	Republican Party	PRE	President of the United States	MAN	Manatee	   	 	70	70	Pence	Trump	 / 	123316
11/03/2020	REP	Republican Party	PRE	President of the United States	MON	Monroe	   	 	33	31	Pence	Trump	 / 	25434
11/03/2020	REP	Republican Party	PRE	President of the United States	MRN	Marion	   	 	122	106	Pence	Trump	 / 	122806
11/03/2020	REP	Republican Party	PRE	President of the United States	MRT	Martin	   	 	28	28	Pence	Trump	 / 	61133
11/03/2020	REP	Republican Party	PRE	President of the United States	NAS	Nassau	   	 	15	15	Pence	Trump	 / 	42388
11/03/2020	REP	Republican Party	PRE	President of the United States	OKA	Okaloosa	   	 	52	46	Pence	Trump	 / 	77308
11/03/2020	REP	Republican Party	PRE	President of the United States	OKE	Okeechobee	   	 	11	8	Pence	Trump	 / 	11067
11/03/2020	REP	Republican Party	PRE	President of the United States	ORA	Orange	   	 	247	244	Pence	Trump	 / 	243556
11/03/2020	REP	Republican Party	PRE	President of the United States	OSC	Osceola	   	 	101	0	Pence	Trump	 / 	58066
11/03/2020	REP	Republican Party	PRE	President of the United States	PAL	Palm Beach	   	 	872	828	Pence	Trump	 / 	322949
11/03/2020	REP	Republican Party	PRE	President of the United States	PAS	Pasco	   	 	111	105	Pence	Trump	 / 	174559
11/03/2020	REP	Republican Party	PRE	President of the United States	PIN	Pinellas	   	 	301	297	Pence	Trump	 / 	273993
11/03/2020	REP	Republican Party	PRE	President of the United States	POL	Polk	   	 	167	0	Pence	Trump	 / 	189631
11/03/2020	REP	Republican Party	PRE	President of the United States	PUT	Putnam	   	 	35	0	Pence	Trump	 / 	24907
11/03/2020	REP	Republican Party	PRE	President of the United States	SAN	Santa Rosa	   	 	41	23	Pence	Trump	 / 	66082
11/03/2020	REP	Republican Party	PRE	President of the United States	SAR	Sarasota	   	 	101	99	Pence	Trump	 / 	146563
