county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Alachua,130979,177947,0.736056241465155,75820,128569,0.589722250309172,46834,0.3642713251250301,128571,190433,0.6751508404530727,75820,128569,0.5897222503091725,46834,0.3642713251250301
Baker,12767,15147,0.842873176206509,2112,12634,0.167167959474434,10294,0.814785499445939,12634,16933,0.7461170495482194,2112,12634,0.16716795947443408,10294,0.8147854994459395
Bay,88708,118016,0.75166079175705,21797,87449,0.24925385081590398,62194,0.711203101236149,87453,124653,0.7015715626579384,21797,87449,0.2492538508159041,62194,0.711203101236149
Bradford,12231,16042,0.762436105223788,2924,12098,0.241692841792032,8913,0.736733344354439,12098,17742,0.6818847931462068,2924,12098,0.2416928417920317,8913,0.7367333443544387
Brevard,320627,412032,0.7781604341410379,119679,314744,0.380242355692245,181848,0.5777647866202371,314752,452424,0.6957013774689229,119679,314744,0.3802423556922451,181848,0.5777647866202374
Broward,843767,1179255,0.715508520209793,553320,831950,0.66508804615662,260951,0.313661878718673,831951,1266991,0.6566352878591877,553320,831950,0.66508804615662,260951,0.313661878718673
Calhoun,6197,8596,0.720916705444393,1241,6081,0.204078276599244,4655,0.765499095543496,6081,8709,0.6982431966930761,1241,6081,0.20407827659924355,4655,0.7654990955434962
Charlotte,98173,128332,0.764992363557024,33445,96371,0.347044235299001,60218,0.624856025152795,96374,152142,0.6334477001748366,33445,96371,0.34704423529900075,60218,0.6248560251527949
Citrus,80973,105696,0.766093324250681,22789,79699,0.285938343015596,54456,0.683270806409114,79700,117092,0.6806613602978854,22789,79699,0.2859383430155962,54456,0.6832708064091143
Clay,107838,146641,0.735387783771251,27822,106483,0.26128114346891,74963,0.7039903083121251,106483,164745,0.6463504203465963,27822,106483,0.2612811434689105,74963,0.7039903083121251
Collier,174500,200707,0.8694265770501279,61085,170788,0.35766564395625,105423,0.617274047356957,170789,231708,0.7370871959535277,61085,170788,0.35766564395624983,105423,0.6172740473569571
Columbia,29016,37385,0.7761401631670458,7601,28707,0.264778625422371,20368,0.7095133591110179,28707,44239,0.6489070729446869,7601,28707,0.26477862542237085,20368,0.7095133591110182
DeSoto,10993,15884,0.692080080584236,3781,10818,0.34951007579959303,6778,0.626548345350342,10818,17819,0.6071047758011112,3781,10818,0.3495100757995933,6778,0.626548345350342
Dixie,7282,9923,0.7338506500050391,1270,7202,0.17633990558178303,5822,0.8083865592890859,7202,10595,0.6797546012269938,1270,7202,0.17633990558178286,5822,0.8083865592890863
Duval,438942,588121,0.7463464151084559,205704,432684,0.47541392794741705,211672,0.489206903883666,432695,664211,0.6514420869271963,205704,432684,0.4754139279474166,211672,0.4892069038836657
Escambia,155218,210039,0.7389960912021101,57461,152467,0.376874995900752,88808,0.582473584447782,152469,232238,0.6565204660735969,57461,152467,0.3768749959007523,88808,0.5824735844477822
Flagler,58402,79281,0.736645602351131,22026,57503,0.3830408848234,33850,0.588664939220562,57503,91916,0.6256038121763349,22026,57503,0.3830408848234005,33850,0.5886649392205624
Franklin,6108,7229,0.8449301424816709,1744,6015,0.28994181213632597,4125,0.685785536159601,6015,8485,0.7088980553918679,1744,6015,0.28994181213632586,4125,0.685785536159601
Gadsden,22335,29584,0.7549689021092479,15020,22113,0.679238457016235,6728,0.304255415366526,22113,31155,0.7097737120847376,15020,22113,0.6792384570162348,6728,0.3042554153665265
Gilchrist,8516,11423,0.7455134378009279,1458,8420,0.173159144893112,6740,0.800475059382423,8420,12516,0.6727388942154043,1458,8420,0.17315914489311166,6740,0.8004750593824228
