county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Alachua,137474,190433,0.7219021913218823,86930,137474,0.6323377511383971,48754,0.35464160495802843
Baker,14059,16933,0.8302722494537293,2037,14059,0.14488939469379045,11911,0.8472153069208336
Bay,28654,124653,0.22987011945159763,12239,28654,0.42713059258742236,15999,0.5583513645564319
Bradford,13629,17742,0.7681772066283395,3159,13629,0.2317851639885538,10334,0.7582361141683176
Brevard,347055,452424,0.7671012147896663,144149,347055,0.4153491521516762,198900,0.5731080088170463
Broward,862111,1266991,0.6804397189877434,570901,862111,0.6622128705004344,286775,0.33264278033803074
Calhoun,0,8709,0.0,0,0,0.0,0,0.0
Charlotte,100581,152142,0.6610994991521079,38564,100581,0.3834123741064416,61430,0.610751533589843
Citrus,93031,117092,0.7945120076521026,27048,93031,0.2907417957455042,65228,0.7011426298760628
Clay,121522,164745,0.7376369540805487,37296,121522,0.3069073912542585,82714,0.6806504172084067
Collier,203517,231708,0.8783339375420788,76055,203517,0.3737034252666853,126290,0.6205378420475931
Columbia,31813,44239,0.7191166165600488,8728,31813,0.27435325181529563,22805,0.7168453148084116
DeSoto,11842,17819,0.6645715247769235,4002,11842,0.3379496706637392,7765,0.6557169397061308
Dixie,8164,10595,0.7705521472392638,1364,8164,0.1670749632533072,6757,0.8276580107790299
Duval,486746,664211,0.7328183363419154,249862,486746,0.5133313884448973,230604,0.4737666051698422
Escambia,128713,232238,0.554228851436888,57334,128713,0.44544063148244545,69633,0.540994305159541
Flagler,71506,91916,0.7779494320901693,28058,71506,0.3923866528682908,42943,0.6005510027130591
Franklin,6841,8485,0.806246317030053,2115,6841,0.30916532670662183,4672,0.6829410904838474
Gadsden,23043,31155,0.7396244583533943,15619,23043,0.6778197283339843,7292,0.31645185088747124
Gilchrist,9088,12516,0.7261105784595717,1657,9088,0.18232834507042253,7347,0.8084286971830986
Glades,4032,7097,0.5681273777652529,1224,4032,0.30357142857142855,2788,0.691468253968254
Gulf,8161,10829,0.7536245267337705,1985,8161,0.2432299963239799,6111,0.7488052934689376
Hamilton,4672,8098,0.5769325759446777,1639,4672,0.3508133561643836,2999,0.6419092465753424
Hardee,6623,13111,0.5051483487148196,1664,6623,0.2512456590668881,4909,0.7412048920428809
Hendry,11134,19122,0.5822612697416588,4194,11134,0.3766840308963535,6856,0.6157715106879827
Hernando,107453,146893,0.7315052453146168,36875,107453,0.343173294370562,69640,0.6480973076600932
Highlands,51893,66317,0.7824992083477841,16813,51893,0.3239936022199526,34731,0.66928102056154
Hillsborough,699784,934346,0.7489559542182447,369162,699784,0.5275370685811622,322683,0.46111800212637044
Holmes,0,11489,0.0,0,0,0.0,0,0.0
Indian River,96799,124586,0.7769653091037516,37497,96799,0.38736970423248174,58553,0.6048926125269889
Jackson,17269,29857,0.578390327226446,5573,17269,0.32271700735421854,11587,0.670971104290926
Jefferson,6949,10236,0.6788784681516217,3451,6949,0.49661821844869763,3445,0.4957547848611311
Lafayette,3653,4568,0.7996935201401051,507,3653,0.1387900355871886,3126,0.8557350123186422
Lake,208502,264691,0.7877185095073123,82466,208502,0.39551658976892307,124153,0.5954523218002705
Lee,381730,489187,0.7803355363082012,152737,381730,0.40011788436853274,226254,0.592706887066775
Leon,159305,217454,0.732591720547794,100990,159305,0.6339411820093531,56500,0.3546655786070745
Levy,23098,30099,0.7674009103292468,6188,23098,0.26790198285565847,16721,0.7239154905186597
Liberty,2811,4601,0.61095414040426,537,2811,0.1910352187833511,2256,0.8025613660618997
Madison,8661,11758,0.7366048647729205,3564,8661,0.4114998268098372,5045,0.5824962475464727
Manatee,209060,273427,0.7645916460334934,87034,209060,0.41631110685927486,120376,0.5757964220797857
Marion,197903,264614,0.7478931575804757,73496,197903,0.37137385486829405,122806,0.6205363233503282
Martin,98669,118472,0.8328465797825647,36873,98669,0.37370400024323747,61133,0.6195765640677416
Miami-Dade,1037152,1564297,0.6630147599848366,559480,1037152,0.5394387707876955,472597,0.4556680216593132
