county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Appling,7067,9242,0.7646613287167281,1434,7005,0.20471092077087802,5494,0.78429693076374,0,11440,0.0,0,0,0.0,0,0.0
Atkinson,2623,3695,0.7098782138024359,697,2610,0.267049808429119,1878,0.719540229885058,0,4801,0.0,0,0,0.0,0,0.0
Bacon,4034,5385,0.7491179201485608,608,4019,0.151281413286887,3364,0.837024135357054,0,6726,0.0,0,0,0.0,0,0.0
Baker,1453,1974,0.7360688956433641,650,1440,0.45138888888888895,775,0.538194444444444,0,2258,0.0,0,0,0.0,0,0.0
Baldwin,16288,21052,0.773703211096333,7970,16086,0.495461892328733,7697,0.47849061295536494,0,26742,0.0,0,0,0.0,0,0.0
Banks,7034,8581,0.8197179815872281,684,6950,0.09841726618705,6134,0.8825899280575541,0,12905,0.0,0,0,0.0,0,0.0
Barrow,29254,37213,0.7861231290140541,6580,28831,0.228226561687073,21108,0.7321286115639419,0,55694,0.0,0,0,0.0,0,0.0
Bartow,39855,52253,0.7627313264310179,8212,39306,0.20892484607947898,29911,0.760977967740294,0,74380,0.0,0,0,0.0,0,0.0
Ben Hill,5994,7899,0.758830231674896,2101,5931,0.35424043163041596,3739,0.630416455909627,0,9892,0.0,0,0,0.0,0,0.0
Berrien,6636,10920,0.607692307692308,1047,6584,0.15902187120291597,5422,0.8235115431348721,0,11317,0.0,0,0,0.0,0,0.0
Bibb,63152,86854,0.7271052570981189,36787,62277,0.590699616230711,24043,0.38606548163848603,0,108126,0.0,0,0,0.0,0,0.0
Bleckley,5018,6162,0.8143459915611809,1101,4943,0.222739227189966,3719,0.7523770989277769,0,7558,0.0,0,0,0.0,0,0.0
Brantley,6341,8304,0.763607899807322,619,6292,0.09837889383343902,5567,0.884774316592498,0,11302,0.0,0,0,0.0,0,0.0
Brooks,6390,8642,0.739412173108077,2528,6318,0.400126622348845,3701,0.5857866413421969,0,11170,0.0,0,0,0.0,0,0.0
Bryan,15317,20151,0.76011116073644,4014,15085,0.266092144514418,10529,0.697978123964203,0,30651,0.0,0,0,0.0,0,0.0
Bulloch,25695,34926,0.735698333619653,9261,25248,0.36680133079847904,15097,0.59794835234474,0,44737,0.0,0,0,0.0,0,0.0
Burke,9458,12481,0.7577918436022749,4731,9351,0.5059351940968879,4491,0.480269489894129,0,16570,0.0,0,0,0.0,0,0.0
Butts,9587,12556,0.763539343740045,2566,9477,0.270760789279308,6717,0.7087685976574871,0,17195,0.0,0,0,0.0,0,0.0
Calhoun,2043,2694,0.7583518930957679,1179,2025,0.582222222222222,830,0.409876543209877,0,3187,0.0,0,0,0.0,0,0.0
Camden,19135,25319,0.75575654646708,5930,18869,0.31427208649107,12310,0.6523928136096241,0,35141,0.0,0,0,0.0,0,0.0
Candler,3802,4671,0.813958467137658,1026,3763,0.272654796704757,2664,0.707945787935158,0,6328,0.0,0,0,0.0,0,0.0
Carroll,44584,57251,0.7787462227734009,12464,43839,0.284313054586099,30029,0.684983690321403,0,83866,0.0,0,0,0.0,0,0.0
Catoosa,27041,34831,0.7763486549338231,4771,26528,0.179847708082027,20876,0.7869420989143551,0,45785,0.0,0,0,0.0,0,0.0
Charlton,4062,5154,0.788125727590221,1004,4009,0.250436517834872,2951,0.7360937889748069,0,6562,0.0,0,0,0.0,0,0.0
Chatham,113555,155339,0.731014104635668,62290,111481,0.558749921511289,45688,0.409827683641159,0,202999,0.0,0,0,0.0,0,0.0
Chattahoochee,1409,4247,0.331763597833765,594,1390,0.427338129496403,751,0.540287769784173,0,3943,0.0,0,0,0.0,0,0.0
Chattooga,8373,11099,0.7543922875934771,1613,8252,0.195467765390208,6462,0.783082888996607,0,14183,0.0,0,0,0.0,0,0.0
Cherokee,113180,138809,0.815364997946819,25231,110895,0.227521529374634,80649,0.727255511970783,0,190605,0.0,0,0,0.0,0,0.0
Clarke,45688,60411,0.7562861068348481,29603,44339,0.667651503191321,12717,0.28681296375651194,0,76848,0.0,0,0,0.0,0,0.0
Clay,1285,1731,0.742345465049105,697,1271,0.548387096774194,566,0.445318646734854,0,2053,0.0,0,0,0.0,0,0.0
Clayton,93843,134164,0.6994648340836589,78220,92512,0.845511933586994,12645,0.13668497059840898,0,194338,0.0,0,0,0.0,0,0.0
Clinch,2477,3499,0.7079165475850241,686,2447,0.28034327748263205,1727,0.7057621577441769,0,4345,0.0,0,0,0.0,0,0.0
Cobb,335466,424176,0.790865112594772,160121,327499,0.48892057685672297,152912,0.46690829590319394,0,537659,0.0,0,0,0.0,0,0.0
Coffee,14083,18897,0.7452505688733659,4094,13915,0.29421487603305796,9588,0.68904060366511,0,25165,0.0,0,0,0.0,0,0.0
Colquitt,13745,18468,0.7442603422135592,3463,13601,0.254613631350636,9898,0.7277406073082858,0,25087,0.0,0,0,0.0,0,0.0
Columbia,65428,81492,0.802876355961321,18887,64242,0.293997696211201,43085,0.670667164783164,0,107656,0.0,0,0,0.0,0,0.0
Cook,6118,8037,0.7612293144208041,1753,6041,0.290183744413177,4176,0.691276278761794,0,10650,0.0,0,0,0.0,0,0.0
Coweta,62421,78788,0.7922653195918159,16583,61351,0.270297142670861,42533,0.693273133282261,0,102262,0.0,0,0,0.0,0,0.0
Crawford,5217,6525,0.799540229885057,1421,5162,0.275280898876404,3635,0.704184424641612,0,8536,0.0,0,0,0.0,0,0.0
Crisp,7586,10228,0.74168947985921,2837,7512,0.37766240681576096,4549,0.605564430244941,0,12560,0.0,0,0,0.0,0,0.0
Dade,6402,8588,0.7454587796925941,965,6242,0.15459788529317497,5051,0.8091957705863511,0,11682,0.0,0,0,0.0,0,0.0
Dawson,11860,14591,0.812829826605442,1448,11704,0.123718386876282,9900,0.845864661654135,0,21557,0.0,0,0,0.0,0,0.0
Decatur,10355,13821,0.7492221981043342,4124,10270,0.40155793573515103,6020,0.586173320350536,0,16726,0.0,0,0,0.0,0,0.0
DeKalb,319285,419871,0.760435943420717,251370,312504,0.804373704016589,51468,0.164695491897704,0,547802,0.0,0,0,0.0,0,0.0
Dodge,7062,11169,0.6322857910287399,1839,6998,0.262789368390969,5021,0.717490711631895,0,11464,0.0,0,0,0.0,0,0.0
Dooly,3888,5295,0.7342776203966009,1872,3859,0.48509976677895794,1951,0.5055713915522161,0,5966,0.0,0,0,0.0,0,0.0
