"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"APPLING",7067,9242,0.764661328716728,1434,7005,0.204710920770878,5494,0.78429693076374
"ATKINSON",2623,3695,0.709878213802436,697,2610,0.267049808429119,1878,0.719540229885058
"BACON",4034,5385,0.749117920148561,608,4019,0.151281413286887,3364,0.837024135357054
"BAKER",1453,1974,0.736068895643364,650,1440,0.451388888888889,775,0.538194444444444
"BALDWIN",16288,21052,0.773703211096333,7970,16086,0.495461892328733,7697,0.478490612955365
"BANKS",7034,8581,0.819717981587228,684,6950,0.09841726618705,6134,0.882589928057554
"BARROW",29254,37213,0.786123129014054,6580,28831,0.228226561687073,21108,0.732128611563942
"BARTOW",39855,52253,0.762731326431018,8212,39306,0.208924846079479,29911,0.760977967740294
"BEN HILL",5994,7899,0.758830231674896,2101,5931,0.354240431630416,3739,0.630416455909627
"BERRIEN",6636,10920,0.607692307692308,1047,6584,0.159021871202916,5422,0.823511543134872
"BIBB",63152,86854,0.727105257098119,36787,62277,0.590699616230711,24043,0.386065481638486
"BLECKLEY",5018,6162,0.814345991561181,1101,4943,0.222739227189966,3719,0.752377098927777
"BRANTLEY",6341,8304,0.763607899807322,619,6292,0.098378893833439,5567,0.884774316592498
"BROOKS",6390,8642,0.739412173108077,2528,6318,0.400126622348845,3701,0.585786641342197
"BRYAN",15317,20151,0.76011116073644,4014,15085,0.266092144514418,10529,0.697978123964203
"BULLOCH",25695,34926,0.735698333619653,9261,25248,0.366801330798479,15097,0.59794835234474
"BURKE",9458,12481,0.757791843602275,4731,9351,0.505935194096888,4491,0.480269489894129
"BUTTS",9587,12556,0.763539343740045,2566,9477,0.270760789279308,6717,0.708768597657487
"CALHOUN",2043,2694,0.758351893095768,1179,2025,0.582222222222222,830,0.409876543209877
"CAMDEN",19135,25319,0.75575654646708,5930,18869,0.31427208649107,12310,0.652392813609624
"CANDLER",3802,4671,0.813958467137658,1026,3763,0.272654796704757,2664,0.707945787935158
"CARROLL",44584,57251,0.778746222773401,12464,43839,0.284313054586099,30029,0.684983690321403
"CATOOSA",27041,34831,0.776348654933823,4771,26528,0.179847708082027,20876,0.786942098914355
"CHARLTON",4062,5154,0.788125727590221,1004,4009,0.250436517834872,2951,0.736093788974807
"CHATHAM",113555,155339,0.731014104635668,62290,111481,0.558749921511289,45688,0.409827683641159
"CHATTAHOOCHEE",1409,4247,0.331763597833765,594,1390,0.427338129496403,751,0.540287769784173
"CHATTOOGA",8373,11099,0.754392287593477,1613,8252,0.195467765390208,6462,0.783082888996607
"CHEROKEE",113180,138809,0.815364997946819,25231,110895,0.227521529374634,80649,0.727255511970783
"CLARKE",45688,60411,0.756286106834848,29603,44339,0.667651503191321,12717,0.286812963756512
"CLAY",1285,1731,0.742345465049105,697,1271,0.548387096774194,566,0.445318646734854
"CLAYTON",93843,134164,0.699464834083659,78220,92512,0.845511933586994,12645,0.136684970598409
"CLINCH",2477,3499,0.707916547585024,686,2447,0.280343277482632,1727,0.705762157744177
"COBB",335466,424176,0.790865112594772,160121,327499,0.488920576856723,152912,0.466908295903194
"COFFEE",14083,18897,0.745250568873366,4094,13915,0.294214876033058,9588,0.68904060366511
"COLQUITT",13745,18468,0.744260342213559,3463,13601,0.254613631350636,9898,0.727740607308286
"COLUMBIA",65428,81492,0.802876355961321,18887,64242,0.293997696211201,43085,0.670667164783164
"COOK",6118,8037,0.761229314420804,1753,6041,0.290183744413177,4176,0.691276278761794
"COWETA",62421,78788,0.792265319591816,16583,61351,0.270297142670861,42533,0.693273133282261
"CRAWFORD",5217,6525,0.799540229885057,1421,5162,0.275280898876404,3635,0.704184424641612
"CRISP",7586,10228,0.74168947985921,2837,7512,0.377662406815761,4549,0.605564430244941
"DADE",6402,8588,0.745458779692594,965,6242,0.154597885293175,5051,0.809195770586351
"DAWSON",11860,14591,0.812829826605442,1448,11704,0.123718386876282,9900,0.845864661654135
"DECATUR",10355,13821,0.749222198104334,4124,10270,0.401557935735151,6020,0.586173320350536
"DEKALB",319285,419871,0.760435943420717,251370,312504,0.804373704016589,51468,0.164695491897704
"DODGE",7062,11169,0.63228579102874,1839,6998,0.262789368390969,5021,0.717490711631895
"DOOLY",3888,5295,0.734277620396601,1872,3859,0.485099766778958,1951,0.505571391552216
"DOUGHERTY",34446,49074,0.701919550067245,23311,34018,0.685254865071433,10232,0.300781938973485
"DOUGLAS",58300,74636,0.781124390374618,31005,57416,0.54000627002926,24817,0.432231433746691
"EARLY",4832,6471,0.746716118065214,2168,4785,0.453082549634274,2552,0.533333333333333
"ECHOLS",1184,1579,0.749841671944269,156,1176,0.13265306122449,1007,0.856292517006803
"EFFINGHAM",23682,30029,0.788637650271404,4853,23406,0.207339998291036,17874,0.763650346065112
"ELBERT",8073,10200,0.791470588235294,2539,7970,0.318569636135508,5292,0.663989962358846
"EMANUEL",7938,10534,0.753559901272071,2435,7845,0.310388782664117,5335,0.680050987890376
"EVANS",3659,4684,0.781169940222032,1130,3602,0.313714602998334,2404,0.66740699611327
"FANNIN",11937,14684,0.812925633342413,1923,11777,0.163284367835612,9632,0.817865330729388
"FAYETTE",61766,73831,0.836586257804987,23284,60435,0.385273434268222,35048,0.579928849176802
"FLOYD",35017,45654,0.767008367284356,9159,34357,0.266583229036295,24114,0.701865704223302
"FORSYTH",99323,119848,0.828741405780655,23462,97404,0.240873064761201,69851,0.717126606710197
"FRANKLIN",8584,13086,0.655968210301085,1243,8474,0.146683974510267,7054,0.83242860514515
"FULTON",441262,590362,0.747443094237095,297051,430599,0.689855294601241,117783,0.273532915775466
"GILMER",12896,15748,0.818897637795276,1965,12735,0.154299175500589,10477,0.822693364742835
"GLASCOCK",1403,1733,0.809578765147144,138,1390,0.099280575539568,1235,0.888489208633093
"GLYNN",34583,44972,0.76898959352486,11775,34112,0.345186444652908,21512,0.63062851782364
"GORDON",19129,24934,0.76718536937515,3181,18879,0.168494093966841,15191,0.804650670056677
