county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Appling,7067,9242,0.764661328716728,1434,7005,0.20471092077087794,5494,0.7842969307637402
Atkinson,2623,3695,0.7098782138024358,697,2610,0.2670498084291188,1878,0.7195402298850575
Bacon,4034,5385,0.7491179201485608,608,4019,0.1512814132868873,3364,0.837024135357054
Baker,1453,1974,0.7360688956433638,650,1440,0.4513888888888889,775,0.5381944444444444
Baldwin,16288,21052,0.7737032110963329,7970,16086,0.49546189232873306,7697,0.47849061295536494
Banks,7034,8581,0.8197179815872276,684,6950,0.09841726618705036,6134,0.882589928057554
Barrow,29254,37213,0.7861231290140542,6580,28831,0.22822656168707295,21108,0.7321286115639416
Bartow,39855,52253,0.7627313264310183,8212,39306,0.20892484607947895,29911,0.7609779677402941
Ben Hill,5994,7899,0.7588302316748956,2101,5931,0.35424043163041646,3739,0.6304164559096274
Berrien,6636,10920,0.6076923076923076,1047,6584,0.15902187120291617,5422,0.8235115431348724
Bibb,63152,86854,0.7271052570981187,36787,62277,0.5906996162307112,24043,0.38606548163848614
Bleckley,5018,6162,0.8143459915611815,1101,4943,0.2227392271899656,3719,0.7523770989277766
Brantley,6341,8304,0.7636078998073218,619,6292,0.09837889383343928,5567,0.8847743165924984
Brooks,6390,8642,0.7394121731080768,2528,6318,0.40012662234884455,3701,0.5857866413421969
Bryan,15317,20151,0.7601111607364399,4014,15085,0.2660921445144183,10529,0.6979781239642029
Bulloch,25695,34926,0.735698333619653,9261,25248,0.3668013307984791,15097,0.5979483523447402
Burke,9458,12481,0.7577918436022755,4731,9351,0.505935194096888,4491,0.480269489894129
Butts,9587,12556,0.7635393437400446,2566,9477,0.2707607892793078,6717,0.7087685976574866
Calhoun,2043,2694,0.7583518930957683,1179,2025,0.5822222222222222,830,0.40987654320987654
Camden,19135,25319,0.75575654646708,5930,18869,0.31427208649107,12310,0.6523928136096242
Candler,3802,4671,0.8139584671376578,1026,3763,0.27265479670475684,2664,0.7079457879351582
Carroll,44584,57251,0.7787462227734013,12464,43839,0.2843130545860991,30029,0.6849836903214033
Catoosa,27041,34831,0.7763486549338233,4771,26528,0.17984770808202655,20876,0.7869420989143546
Charlton,4062,5154,0.7881257275902211,1004,4009,0.25043651783487153,2951,0.7360937889748067
Chatham,113555,155339,0.7310141046356678,62290,111481,0.5587499215112889,45688,0.40982768364115857
Chattahoochee,1409,4247,0.331763597833765,594,1390,0.4273381294964029,751,0.5402877697841727
Chattooga,8373,11099,0.7543922875934769,1613,8252,0.19546776539020844,6462,0.7830828889966068
Cherokee,113180,138809,0.815364997946819,25231,110895,0.22752152937463366,80649,0.7272555119707832
Clarke,45688,60411,0.756286106834848,29603,44339,0.6676515031913214,12717,0.28681296375651233
Clay,1285,1731,0.7423454650491046,697,1271,0.5483870967741935,566,0.44531864673485444
Clayton,93843,134164,0.6994648340836588,78220,92512,0.8455119335869942,12645,0.13668497059840887
Clinch,2477,3499,0.7079165475850243,686,2447,0.28034327748263177,1727,0.7057621577441765
Cobb,335466,424176,0.790865112594772,160121,327499,0.48892057685672324,152912,0.4669082959031936
Coffee,14083,18897,0.7452505688733662,4094,13915,0.29421487603305785,9588,0.6890406036651096
Colquitt,13745,18468,0.7442603422135586,3463,13601,0.25461363135063597,9898,0.7277406073082862
Columbia,65428,81492,0.8028763559613213,18887,64242,0.2939976962112014,43085,0.6706671647831637
Cook,6118,8037,0.7612293144208038,1753,6041,0.2901837444131766,4176,0.6912762787617944
Coweta,62421,78788,0.792265319591816,16583,61351,0.27029714267086113,42533,0.693273133282261
Crawford,5217,6525,0.7995402298850575,1421,5162,0.2752808988764045,3635,0.7041844246416118
Crisp,7586,10228,0.74168947985921,2837,7512,0.37766240681576146,4549,0.6055644302449414
Dade,6402,8588,0.7454587796925943,965,6242,0.15459788529317525,5051,0.8091957705863505
Dawson,11860,14591,0.8128298266054417,1448,11704,0.12371838687628162,9900,0.8458646616541353
Decatur,10355,13821,0.749222198104334,4124,10270,0.4015579357351509,6020,0.5861733203505355
DeKalb,319285,419871,0.7604359434207173,251370,312504,0.8043737040165886,51468,0.16469549189770372
Dodge,7062,11169,0.6322857910287403,1839,6998,0.26278936839096884,5021,0.7174907116318948
Dooly,3888,5295,0.7342776203966006,1872,3859,0.4850997667789583,1951,0.5055713915522156
Dougherty,34446,49074,0.7019195500672454,23311,34018,0.6852548650714327,10232,0.30078193897348465
Douglas,58300,74636,0.7811243903746181,31005,57416,0.5400062700292602,24817,0.4322314337466908
Early,4832,6471,0.746716118065214,2168,4785,0.45308254963427375,2552,0.5333333333333333
Echols,1184,1579,0.7498416719442685,156,1176,0.1326530612244898,1007,0.8562925170068028
Effingham,23682,30029,0.7886376502714043,4853,23406,0.2073399982910365,17874,0.7636503460651115
Elbert,8073,10200,0.7914705882352941,2539,7970,0.31856963613550815,5292,0.6639899623588457
Emanuel,7938,10534,0.7535599012720714,2435,7845,0.3103887826641173,5335,0.680050987890376
Evans,3659,4684,0.7811699402220325,1130,3602,0.31371460299833426,2404,0.6674069961132704
Fannin,11937,14684,0.8129256333424135,1923,11777,0.1632843678356118,9632,0.8178653307293878
Fayette,61766,73831,0.8365862578049871,23284,60435,0.3852734342682221,35048,0.5799288491768015
Floyd,35017,45654,0.7670083672843563,9159,34357,0.2665832290362954,24114,0.7018657042233024
Forsyth,99323,119848,0.8287414057806555,23462,97404,0.24087306476120077,69851,0.7171266067101967
Franklin,8584,13086,0.6559682103010851,1243,8474,0.14668397451026668,7054,0.8324286051451498
Fulton,441262,590362,0.7474430942370952,297051,430599,0.6898552946012415,117783,0.2735329157754663
Gilmer,12896,15748,0.8188976377952756,1965,12735,0.15429917550058891,10477,0.8226933647428347
Glascock,1403,1733,0.8095787651471437,138,1390,0.09928057553956834,1235,0.8884892086330936
Glynn,34583,44972,0.76898959352486,11775,34112,0.34518644465290804,21512,0.6306285178236398
Gordon,19129,24934,0.7671853693751504,3181,18879,0.16849409396684145,15191,0.8046506700566767
Grady,9309,12061,0.771826548379073,3013,9201,0.32746440604282145,6053,0.6578632757308989
Greene,8987,10895,0.8248737953189537,3199,8840,0.36187782805429863,5490,0.6210407239819005
Gwinnett,332149,430935,0.7707635722324713,166153,325636,0.5102414966404206,146989,0.45139050964881033
Habersham,16379,20380,0.8036800785083416,2483,16134,0.15389859923143673,13190,0.8175282013139953
Hall,71383,90807,0.786095785567192,16180,70220,0.2304186841355739,51733,0.7367274280831672
Hancock,3604,5407,0.6665433697059368,2701,3580,0.7544692737430168,843,0.23547486033519552
Haralson,11482,14488,0.7925179458862507,1475,11324,0.13025432709290002,9585,0.8464323560579301
Harris,16667,20235,0.823671855695577,4086,16401,0.24913115053960125,11936,0.7277605024083897
Hart,10209,12862,0.7937334784636915,2585,10080,0.2564484126984127,7286,0.7228174603174603
Heard,4258,5555,0.7665166516651665,743,4206,0.17665240133143129,3370,0.8012363290537328
Henry,99666,125837,0.7920246032565939,50057,98286,0.5092993915715361,45724,0.465213763913477
Houston,60565,79199,0.7647192515057009,22553,59744,0.3774939742903053,35430,0.5930302624531334
Irwin,3693,4963,0.7441063872657667,891,3665,0.24311050477489768,2716,0.7410641200545702
Jackson,27491,33719,0.8152970135531896,4491,27109,0.16566453945184256,21784,0.8035707698550297
Jasper,6082,7671,0.7928562117064268,1544,6023,0.2563506558193591,4360,0.7238917482981903
Jeff Davis,5130,6784,0.7561910377358491,901,5091,0.17697898251816932,4104,0.8061284619917501
Jefferson,7007,9256,0.7570224719101124,3821,6954,0.5494679321253955,3063,0.44046591889559966
Jenkins,3082,4258,0.7238139971817755,1123,3052,0.36795543905635647,1895,0.6209043250327654
Johnson,3711,4702,0.7892386218630371,1136,3682,0.3085279739272135,2519,0.6841390548614883
Jones,12647,15398,0.8213404338225744,3961,12526,0.3162222577039757,8305,0.6630209164936931
Lamar,7671,9786,0.7838749233599019,2270,7586,0.2992354336936462,5190,0.684155022409702
Lanier,2897,4104,0.705896686159844,806,2863,0.28152287809989524,1984,0.6929793922458959
Laurens,19685,25051,0.7857969741726877,6752,19476,0.34668309714520434,12411,0.6372458410351202
Lee,14290,17841,0.8009640715206546,3170,14115,0.22458377612469005,10646,0.7542330853701735
Liberty,16356,24858,0.6579773111272025,9556,16117,0.5929143140783024,6134,0.3805919215734938
Lincoln,4144,5949,0.6965876617918978,1273,4102,0.310336421257923,2759,0.6725987323256948
Long,4158,6052,0.6870456047587574,1360,4117,0.33033762448384746,2626,0.6378430896283702
Lowndes,38204,53910,0.7086625857911334,15064,37628,0.40034017221218243,21635,0.5749707664505156
Lumpkin,12560,15618,0.8042002817262134,2220,12334,0.1799902707961732,9619,0.7798767634181936
Macon,4321,6012,0.7187292082501663,2705,4287,0.6309773734546302,1540,0.3592255656636342
Madison,12114,15118,0.8012964677867442,2425,11954,0.20286096704032122,9201,0.7697005186548436
Marion,3215,4224,0.7611268939393939,1213,3183,0.3810870248193528,1921,0.6035186930568646
McDuffie,9355,11967,0.7817330993565639,3699,9268,0.3991152352179543,5432,0.5861027190332326
McIntosh,5980,9126,0.6552706552706553,2303,5903,0.3901406064712858,3487,0.5907165847873962
Meriwether,9283,12166,0.763028111129377,3804,9191,0.4138831465564139,5222,0.5681645087585682
Miller,2563,3461,0.7405374169315226,623,2544,0.24488993710691823,1891,0.7433176100628931
Mitchell,7930,10761,0.7369203605612862,3493,7865,0.4441195168467896,4279,0.544055944055944
Monroe,12815,16098,0.7960616225618089,3571,12687,0.2814692204618901,8832,0.6961456609127453
Montgomery,3595,4681,0.7679982909634694,847,3562,0.2377877596855699,2670,0.7495788882650196
Morgan,9582,11471,0.8353238601691221,2663,9440,0.28209745762711863,6559,0.6948093220338983
Murray,12555,16466,0.7624802623588,1800,12424,0.1448808757244044,10341,0.8323406310367032
Muscogee,69817,100700,0.6933167825223436,39851,68658,0.580427626787847,26976,0.3929039587520755
Newton,44357,58302,0.7608143802957017,21943,43803,0.5009474236924412,20913,0.4774330525306486
Oconee,20476,24058,0.8511098179399784,5581,19931,0.2800160553910993,13425,0.6735738297125081
Oglethorpe,6755,8087,0.8352912081117844,1831,6655,0.27513148009015775,4625,0.6949661908339594
Paulding,65636,82336,0.7971725612125923,18025,64641,0.2788477901022571,44662,0.690923717145465
Peach,10848,14630,0.7414900888585099,5100,10724,0.4755688176053711,5413,0.5047556881760538
Pickens,14174,17319,0.8184075293030776,1979,13984,0.14151887871853547,11651,0.83316647597254
Pierce,7360,9283,0.7928471399332112,903,7298,0.12373252946012606,6302,0.8635242532200603
Pike,8793,10620,0.8279661016949152,1240,8681,0.14284068655684828,7278,0.8383826748070499
Polk,14323,20268,0.7066804815472666,2867,14170,0.20232886379675372,11014,0.7772759350741002
Pulaski,3631,4720,0.7692796610169491,1104,3599,0.30675187552097805,2437,0.6771325368157821
Putnam,9573,13964,0.685548553423088,2758,9472,0.2911739864864865,6544,0.6908783783783784
Quitman,1053,1431,0.7358490566037735,461,1044,0.44157088122605365,575,0.5507662835249042
Rabun,8110,9884,0.820518008903278,1444,7950,0.18163522012578617,6287,0.7908176100628931
Randolph,2922,3914,0.7465508431272355,1598,2897,0.5516051087331723,1271,0.43872972040041425
Richmond,76304,105642,0.7222884837469946,48814,75086,0.6501078763018405,24461,0.325773113496524
Rockdale,38229,50003,0.7645341279523229,23255,37656,0.6175642659868281,13478,0.3579243679626089
Schley,1929,2364,0.815989847715736,401,1909,0.21005762179151388,1472,0.7710843373493976
Screven,5756,7512,0.7662406815761449,2300,5699,0.40357957536409894,3305,0.5799263028601509
Seminole,3619,4905,0.7378185524974515,1189,3582,0.33193746510329425,2345,0.6546621998883305
Spalding,25914,34832,0.7439710610932476,9357,25600,0.3655078125,15646,0.611171875
Stephens,9932,13132,0.7563204386232105,1837,9766,0.18810157689944706,7686,0.7870161785787426
Stewart,2084,2917,0.7144326362701405,1222,2055,0.594647201946472,805,0.39172749391727496
Sumter,11101,15181,0.7312430011198209,5520,10974,0.5030071077091307,5276,0.4807727355567705
Talbot,3278,4138,0.792170130497825,2002,3244,0.6171393341553637,1196,0.3686806411837238
Taliaferro,904,1157,0.7813310285220397,545,897,0.6075808249721293,349,0.3890746934225195
Tattnall,6986,9299,0.7512635767286805,1681,6886,0.24411850130699972,5096,0.7400522799883822
Taylor,3432,4372,0.7849954254345837,1296,3405,0.38061674008810575,2064,0.6061674008810573
Telfair,3827,5029,0.760986279578445,1313,3795,0.34598155467720687,2450,0.6455862977602108
