ElectionDate	OfficeCode(Text)	DistrictCode(Text)	StatusCode	CountyCode	CountyName	OfficeDescription	PartyOrder	PartyName	PartyDescription	CandidateID	CandidateLastName	CandidateFirstName	CandidateMiddleName	CandidateFormerName	CandidateVotes	WriteIn(W)/Uncommitted(Z)	Recount(*)	Nominated(N)/Elected(E),
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		2142			,
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		4848			,
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			50			,
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			12			,
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			11			,
2020-11-03	01	00000	0	1	ALCONA	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	2	ALGER	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	3	ALLEGAN	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		6000			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		10686			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			218			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			26			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			28			,
2020-11-03	01	00000	0	4	ALPENA	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			6			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	5	ANTRIM	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	6	ARENAC	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		1475			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		2512			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			31			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			5			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			10			,
2020-11-03	01	00000	0	7	BARAGA	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
2020-11-03	01	00000	0	8	BARRY	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			0			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		21718			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		30919			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			630			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			86			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			128			,
2020-11-03	01	00000	0	9	BAY	President of the United States 4 Year Term (1) Position	07	NLP	Natural Law	-1398	De La Fuente	Rocky			24			,
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	01	DEM	Democratic	-1401	Biden	Joseph	R.		0			,
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	02	REP	Republican	-1403	Trump	Donald	J.		0			,
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	03	LIB	Libertarian	-1385	Jorgensen	Jo			0			,
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	04	UST	US Taxpayers	-1391	Blankenship	Don			0			,
2020-11-03	01	00000	0	10	BENZIE	President of the United States 4 Year Term (1) Position	06	GRN	Green	-1373	Hawkins	Howie			0			,
