county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Alcona,6283,9347,0.6721942869369849,1732,6179,0.280304256352161,4201,0.679883476290662,7063,9868,0.7157478719092014,2142,7063,0.30327056491575816,4848,0.6863938836188589
Alger,4595,7337,0.626277770205806,1663,4513,0.36849102592510496,2585,0.5727897185907379,5128,7594,0.6752699499604952,2053,5128,0.4003510140405616,3014,0.5877535101404057
Allegan,56574,83976,0.6736924835667328,18050,55658,0.32430198713572195,34183,0.614161486219411,67082,93821,0.7149998401210816,24449,67082,0.3644643868698012,41392,0.6170358665513849
Alpena,14875,23549,0.631661641683299,4877,14688,0.33203976034858396,9090,0.6188725490196079,16966,24854,0.6826265389876881,6000,16966,0.35364847341742306,10686,0.6298479311564306
Antrim,13812,20425,0.676230110159119,4448,13572,0.327733569112879,8469,0.624005305039788,15949,21998,0.7250204564051277,5960,15949,0.3736911405103768,9748,0.6111981942441532
Arenac,7827,12151,0.644144514854744,2384,7693,0.30989210971012604,4950,0.6434420902118809,8831,12716,0.6944793960364894,2774,8831,0.31412071113124224,5928,0.6712716566640244
Baraga,3556,6428,0.5532047293092719,1156,3486,0.331612162937464,2158,0.6190476190476191,4036,6683,0.6039203950321712,1478,4036,0.3662041625371655,2512,0.6223984142715561
Barry,30745,45336,0.678158637727193,9114,30277,0.301020576675364,19202,0.6342107870660899,35905,49758,0.7215925077374492,11797,35905,0.3285614816877872,23471,0.6536972566494917
Bay,53928,80236,0.6721172541004039,21642,52934,0.40884875505346296,28328,0.535156987947255,60253,84726,0.7111512404692775,26151,60253,0.4340198828274111,33125,0.5497651569216471
Benzie,10420,15088,0.690615058324496,4108,10221,0.40191762058507,5539,0.5419234908521671,12260,16469,0.7444289270751108,5480,12260,0.4469820554649266,6601,0.5384176182707994
Berrien,73381,127768,0.574330035689688,29495,71882,0.41032525527948605,38647,0.537645029353663,82379,134881,0.6107531824348871,37438,82379,0.454460481433375,43519,0.5282778377984679
Branch,17932,31518,0.568944729995558,5061,17641,0.286888498384445,11786,0.668102715265575,20536,33727,0.6088890206659353,6159,20536,0.2999123490455785,14064,0.6848461238800155
Calhoun,59721,100662,0.59328247004828,24157,58801,0.410826346490706,31494,0.535603136001088,66276,106256,0.6237388947447674,28877,66276,0.4357082503470336,36221,0.5465175930955398
Cass,22954,40527,0.566387840205295,7270,22574,0.322051918135909,14243,0.630947107291574,26213,44566,0.5881838172597945,9130,26213,0.3483004616030214,16699,0.6370503185442338
Charlevoix,14837,22144,0.67002348265896,5137,14567,0.35264639253106295,8674,0.595455481567927,17000,23708,0.7170575333220853,6939,17000,0.4081764705882353,9841,0.5788823529411765
Cheboygan,13896,21318,0.651843512524627,4302,13650,0.315164835164835,8683,0.6361172161172161,15868,22597,0.7022171084657255,5437,15868,0.34263927401058736,10186,0.6419208469876481
Chippewa,15690,24279,0.646237489188187,5379,15437,0.348448532746,9122,0.5909179244671889,17640,26179,0.6738225295083846,6648,17640,0.3768707482993197,10681,0.605498866213152
Clare,13588,23386,0.581031386299495,4249,13382,0.317516066357794,8505,0.6355552234344639,16281,25233,0.6452264891213887,5199,16281,0.3193292795282845,10861,0.6670966156869971
Clinton,41404,57040,0.725876577840112,16492,40568,0.406527312167225,21636,0.5333267600078879,47910,62211,0.7701210396875151,21968,47910,0.4585264036735546,25098,0.5238572323105823
Crawford,6955,11343,0.6131534867319051,2110,6833,0.308795551002488,4354,0.637201814722669,7861,12001,0.6550287476043664,2672,7861,0.339905864393843,5087,0.6471186871899249
Delta,18797,29395,0.639462493621364,6436,18481,0.348249553595585,11121,0.60175315188572,21151,31338,0.6749313931967579,7606,21151,0.3596047468204813,13207,0.6244149212803177
Dickinson,13359,22250,0.6004044943820219,3923,13140,0.29855403348553994,8580,0.65296803652968,14589,23382,0.6239414934565051,4744,14589,0.32517650284460903,9617,0.6591952841181712
