county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Alcona,7063.0,9868,0.7157478719092014,2142.0,7063.0,0.30327056491575816,4848.0,0.6863938836188589
Alger,5128.0,7594,0.6752699499604952,2053.0,5128.0,0.4003510140405616,3014.0,0.5877535101404057
Allegan,0.0,93821,0.0,0.0,0.0,0.0,0.0,0.0
Alpena,16964.0,24854,0.6825460690432124,6000.0,16964.0,0.3536901674133459,10686.0,0.629922188163169
Antrim,0.0,21998,0.0,0.0,0.0,0.0,0.0,0.0
Arenac,0.0,12716,0.0,0.0,0.0,0.0,0.0,0.0
Baraga,4033.0,6683,0.6034714948376477,1475.0,4033.0,0.3657327051822465,2512.0,0.6228613935035954
Barry,35914.0,49758,0.7217733831745649,11804.0,35914.0,0.3286740546861948,23473.0,0.6535891295873476
Bay,53505.0,84726,0.6315062672615254,21718.0,53505.0,0.4059059900943837,30919.0,0.577871226988132
Benzie,0.0,16469,0.0,0.0,0.0,0.0,0.0,0.0
Berrien,0.0,134881,0.0,0.0,0.0,0.0,0.0,0.0
Branch,0.0,33727,0.0,0.0,0.0,0.0,0.0,0.0
Calhoun,0.0,106256,0.0,0.0,0.0,0.0,0.0,0.0
Cass,26192.0,44566,0.5877126060225284,9122.0,26192.0,0.3482742822235797,16686.0,0.6370647525962125
Charlevoix,0.0,23708,0.0,0.0,0.0,0.0,0.0,0.0
Cheboygan,15849.0,22597,0.7013762888879055,5435.0,15849.0,0.3429238437756325,10171.0,0.6417439586093759
Chippewa,17644.0,26179,0.6739753237327629,6651.0,17644.0,0.3769553389254137,10682.0,0.6054182725005668
Clare,16280.0,25233,0.6451868584789759,5200.0,16280.0,0.3194103194103194,10860.0,0.6670761670761671
Clinton,0.0,62211,0.0,0.0,0.0,0.0,0.0,0.0
Crawford,0.0,12001,0.0,0.0,0.0,0.0,0.0,0.0
Delta,21149.0,31338,0.6748675729146723,7605.0,21149.0,0.35959147004586506,13206.0,0.6244266868409853
Dickinson,13243.0,23382,0.5663758446668378,4569.0,13243.0,0.34501245941251985,8469.0,0.6395076644264894
Eaton,62981.0,87864,0.716800965127925,30147.0,62981.0,0.4786681697654848,31649.0,0.502516632000127
Emmet,22176.0,30587,0.725013894791905,9662.0,22176.0,0.4356962481962482,12135.0,0.5472132034632035
Genesee,0.0,349041,0.0,0.0,0.0,0.0,0.0,0.0
Gladwin,0.0,21896,0.0,0.0,0.0,0.0,0.0,0.0
Gogebic,8269.0,14320,0.5774441340782123,3573.0,8269.0,0.43209577941710003,4600.0,0.556294594267747
Grand Traverse,0.0,80921,0.0,0.0,0.0,0.0,0.0,0.0
Gratiot,19128.0,28289,0.6761638799533387,6693.0,19128.0,0.3499058971141782,12104.0,0.6327896277708072
Hillsdale,0.0,36498,0.0,0.0,0.0,0.0,0.0,0.0
Houghton,18508.0,26532,0.6975727423488618,7755.0,18508.0,0.41900799654203585,10380.0,0.5608385562999784
Huron,17508.0,26187,0.6685760109978234,5349.0,17508.0,0.3055174777244688,11949.0,0.6824880054832076
Ingham,0.0,213783,0.0,0.0,0.0,0.0,0.0,0.0
Ionia,32201.0,46868,0.6870572672185713,10899.0,32201.0,0.3384677494487749,20655.0,0.6414397068414024
Iosco,15358.0,22568,0.6805210918114144,5371.0,15358.0,0.34972001562703475,9760.0,0.6354994139861961
Iron,6789.0,10476,0.6480526918671249,2493.0,6789.0,0.3672116659301812,4216.0,0.6210045662100456
Isabella,0.0,46187,0.0,0.0,0.0,0.0,0.0,0.0
Jackson,0.0,122216,0.0,0.0,0.0,0.0,0.0,0.0
Kalamazoo,0.0,210346,0.0,0.0,0.0,0.0,0.0,0.0
Kalkaska,0.0,16003,0.0,0.0,0.0,0.0,0.0,0.0
Kent,0.0,499980,0.0,0.0,0.0,0.0,0.0,0.0
Keweenaw,1557.0,2052,0.7587719298245614,672.0,1557.0,0.43159922928709055,862.0,0.5536287732819525
Lake,6323.0,9975,0.6338847117794486,2288.0,6323.0,0.3618535505298118,3946.0,0.6240708524434604
Lapeer,0.0,71977,0.0,0.0,0.0,0.0,0.0,0.0
Leelanau,16895.0,21366,0.7907423008518206,8793.0,16895.0,0.5204498372299496,7915.0,0.4684817993489198
Lenawee,0.0,78958,0.0,0.0,0.0,0.0,0.0,0.0
Livingston,0.0,161087,0.0,0.0,0.0,0.0,0.0,0.0
Luce,3101.0,4556,0.6806409130816505,842.0,3101.0,0.27152531441470495,2109.0,0.6801031925185425
Mackinac,6922.0,10119,0.6840596896926574,2589.0,6922.0,0.3740248483097371,4258.0,0.6151401329095637
Macomb,0.0,692232,0.0,0.0,0.0,0.0,0.0,0.0
Manistee,0.0,20953,0.0,0.0,0.0,0.0,0.0,0.0
Marquette,0.0,54726,0.0,0.0,0.0,0.0,0.0,0.0
Mason,0.0,24704,0.0,0.0,0.0,0.0,0.0,0.0
Mecosta,0.0,31148,0.0,0.0,0.0,0.0,0.0,0.0
Menominee,12607.0,20238,0.6229370491155253,4314.0,12607.0,0.3421908463551995,8120.0,0.6440866185452526
Midland,0.0,69519,0.0,0.0,0.0,0.0,0.0,0.0
Missaukee,0.0,12040,0.0,0.0,0.0,0.0,0.0,0.0
Monroe,0.0,130456,0.0,0.0,0.0,0.0,0.0,0.0
Montcalm,32086.0,47795,0.6713254524531855,9703.0,32086.0,0.30240603378420494,21815.0,0.6798915414822664
Montmorency,5859.0,8572,0.6835044330377975,1628.0,5859.0,0.277863116572794,4171.0,0.7118962280252603
Muskegon,0.0,140862,0.0,0.0,0.0,0.0,0.0,0.0
Newaygo,0.0,39726,0.0,0.0,0.0,0.0,0.0,0.0
Oakland,0.0,1033085,0.0,0.0,0.0,0.0,0.0,0.0
Oceana,14062.0,21190,0.6636149126946673,4944.0,14062.0,0.35158583416299244,8892.0,0.6323424832882947
Ogemaw,11907.0,17848,0.6671335723890632,3475.0,11907.0,0.2918451331149744,8253.0,0.6931216931216931
Ontonagon,3804.0,5751,0.6614501825769431,1391.0,3804.0,0.3656677181913775,2358.0,0.6198738170347003
Osceola,12329.0,18406,0.6698359230685647,3214.0,12329.0,0.2606861870386893,8928.0,0.7241463216805905
Oscoda,4874.0,7290,0.6685871056241427,1342.0,4874.0,0.275338530980714,3466.0,0.7111202297907263
Otsego,14756.0,22985,0.6419839025451382,4743.0,14756.0,0.32142857142857145,9779.0,0.6627134724857685
Ottawa,0.0,220133,0.0,0.0,0.0,0.0,0.0,0.0
Presque Isle,8344.0,11545,0.7227371156344738,2912.0,8344.0,0.348993288590604,5343.0,0.6403403643336529
Roscommon,15018.0,22951,0.6543505729597839,5166.0,15018.0,0.3439872153415901,9670.0,0.6438939938740178
Saginaw,0.0,156502,0.0,0.0,0.0,0.0,0.0,0.0
Sanilac,0.0,31604,0.0,0.0,0.0,0.0,0.0,0.0
Schoolcraft,0.0,7227,0.0,0.0,0.0,0.0,0.0,0.0
Shiawassee,0.0,55825,0.0,0.0,0.0,0.0,0.0,0.0
St. Clair,0.0,134201,0.0,0.0,0.0,0.0,0.0,0.0
St. Joseph,27936.0,47356,0.589914688740603,9262.0,27936.0,0.3315435280641466,18128.0,0.6489117983963345
Tuscola,29458.0,42846,0.6875320916771694,8713.0,29458.0,0.2957770384954851,20310.0,0.6894561748930681
Van Buren,0.0,60690,0.0,0.0,0.0,0.0,0.0,0.0
Washtenaw,0.0,317585,0.0,0.0,0.0,0.0,0.0,0.0
Wayne,0.0,1403004,0.0,0.0,0.0,0.0,0.0,0.0
Wexford,0.0,27441,0.0,0.0,0.0,0.0,0.0,0.0
STATEWIDE,663720.0,8083654,0.08210643355096593,241707.0,663720.0,0.3641701319833665,411297.0,0.6196845055143735
