county,ballotscast_2020,registered_2020,turnout_2020,beasley_2020,ncssvotes_2020,beasleypct_2020,newby_2020,newbypct_2020
Alamance,70789,110601,0.6400394209817271,34215,70789,0.48333780672138327,36574,0.5166621932786167
Alexander,11239,24891,0.45152866497930977,4239,11239,0.3771687872586529,7000,0.6228312127413471
Alleghany,5474,7612,0.7191276931161324,1727,5474,0.3154914139568871,3747,0.6845085860431129
Anson,9330,16510,0.5651120533010296,4396,9330,0.47116827438370845,4934,0.5288317256162915
Ashe,11515,19410,0.5932509015971149,2949,11515,0.2561007381676075,8566,0.7438992618323925
Avery,3124,12388,0.2521795285760413,703,3124,0.22503201024327785,2421,0.7749679897567221
Beaufort,20315,33999,0.5975175740462955,5162,20315,0.2540979571745016,15153,0.7459020428254984
Bertie,8876,13276,0.6685748719493824,5480,8876,0.6173952230734565,3396,0.3826047769265435
Bladen,8546,22863,0.3737917158728076,3946,8546,0.4617364849052188,4600,0.5382635150947812
Brunswick,67835,114610,0.5918767995811883,22762,67835,0.33554949509840054,45073,0.6644505049015995
Buncombe,124768,207157,0.6022871541874038,75714,124768,0.6068382918697102,49054,0.39316170813028983
Burke,37080,58146,0.637705087194304,12603,37080,0.33988673139158576,24477,0.6601132686084142
Cabarrus,79890,150403,0.5311729154338677,51163,79890,0.6404180748529228,28727,0.3595819251470772
Caldwell,34113,54547,0.6253872806937136,5891,34113,0.17269076305220885,28222,0.8273092369477911
Camden,5649,8160,0.6922794117647059,1501,5649,0.2657107452646486,4148,0.7342892547353513
Carteret,31859,51891,0.6139600316047099,10504,31859,0.32970275275432376,21355,0.6702972472456763
Caswell,8604,15494,0.5553117335742869,2767,8604,0.3215946071594607,5837,0.6784053928405392
Catawba,71977,108606,0.6627350238476696,19907,71977,0.27657446128624424,52070,0.7234255387137558
Chatham,36093,57724,0.6252685191601414,18875,36093,0.5229545895325963,17218,0.4770454104674037
Cherokee,13336,22697,0.5875666387628321,3674,13336,0.27549490101979607,9662,0.724505098980204
Chowan,7595,10275,0.7391727493917275,3291,7595,0.43331138907175776,4304,0.5666886109282423
Clay,5832,9127,0.638983236550893,1304,5832,0.22359396433470508,4528,0.7764060356652949
Cleveland,38825,67619,0.5741729395584081,13291,38825,0.3423309723116549,25534,0.6576690276883451
Columbus,17893,36801,0.4862096138691883,5169,17893,0.2888839210864584,12724,0.7111160789135416
Craven,45107,72832,0.6193294156414763,20010,45107,0.4436118562529098,25097,0.5563881437470902
Cumberland,118446,226965,0.5218690106404071,69335,118446,0.5853722371375986,49111,0.41462776286240144
Currituck,14999,21812,0.6876490005501559,4285,14999,0.2856857123808254,10714,0.7143142876191746
Dare,20223,30129,0.6712137807428059,7181,20223,0.35509073826830834,13042,0.6449092617316916
Davidson,79680,113523,0.7018841996775984,20279,79680,0.2545055220883534,59401,0.7454944779116466
Davie,19730,31448,0.6273848893411346,5455,19730,0.27648251393816525,14275,0.7235174860618347
Duplin,16102,30547,0.5271221396536485,6151,16102,0.3820022357471122,9951,0.6179977642528879
Durham,133865,244340,0.5478636326430384,105317,133865,0.7867403727636051,28548,0.21325962723639488
Edgecombe,18493,35661,0.5185777179551891,10092,18493,0.5457200021629806,8401,0.4542799978370194
Forsyth,160529,271771,0.5906774453492094,97680,160529,0.6084881859352516,62849,0.39151181406474844
Franklin,28107,47495,0.5917886093272976,12511,28107,0.44512043263244033,15596,0.5548795673675597
Gaston,95536,151635,0.6300392389619811,37401,95536,0.39148593200468934,58135,0.6085140679953107
Gates,4548,8333,0.545781831273251,1852,4548,0.4072119613016711,2696,0.592788038698329
Graham,2666,6069,0.43928159499093755,653,2666,0.24493623405851464,2013,0.7550637659414854
Granville,24826,40060,0.6197204193709436,9492,24826,0.3823410940143398,15334,0.6176589059856602
Greene,5579,11389,0.48985863552550707,2021,5579,0.3622512995160423,3558,0.6377487004839577
Guilford,271664,383465,0.7084453600719752,167951,271664,0.61823060839861,103713,0.38176939160138995
Halifax,17939,37792,0.47467718035563083,8826,17939,0.49200066893360833,9113,0.5079993310663916
Harnett,33705,82006,0.4110065117186547,18507,33705,0.5490876724521584,15198,0.45091232754784155
Haywood,25860,46373,0.5576520820304919,10826,25860,0.41863882443928846,15034,0.5813611755607115
Henderson,57997,87486,0.6629289257709805,21352,57997,0.3681569736365674,36645,0.6318430263634326
Hertford,8499,15007,0.5663357100019991,6823,8499,0.8028003294505236,1676,0.1971996705494764
Hoke,16719,33189,0.5037512428816777,10253,16719,0.6132543812428973,6466,0.38674561875710267
Hyde,2045,3171,0.6449069694102807,981,2045,0.4797066014669927,1064,0.5202933985330074
Iredell,70001,130637,0.5358435971432289,18834,70001,0.2690532992385823,51167,0.7309467007614177
Jackson,16035,29622,0.5413206400648167,7371,16035,0.4596819457436857,8664,0.5403180542563143
Johnston,88296,142963,0.6176143477683037,40246,88296,0.45580773760985777,48050,0.5441922623901423
Jones,3474,7399,0.4695229085011488,2164,3474,0.6229130685089235,1310,0.3770869314910766
Lee,27358,38606,0.7086463244055328,12299,27358,0.4495577162073251,15059,0.5504422837926749
Lenoir,24119,38421,0.6277556544598006,11458,24119,0.4750611551059331,12661,0.524938844894067
Lincoln,36021,62436,0.5769267730155679,11654,36021,0.32353349435051776,24367,0.6764665056494823
Macon,19802,27200,0.728014705882353,6203,19802,0.31325118674881325,13599,0.6867488132511868
Madison,10075,17228,0.5848038077548178,4706,10075,0.4670967741935484,5369,0.5329032258064517
Martin,8637,16481,0.5240580061889448,5968,8637,0.6909806645826096,2669,0.3090193354173903
McDowell,16934,29813,0.5680072451615067,3947,16934,0.23308137474902563,12987,0.7669186252509743
