"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"ALAMANCE",71531,101240,0.70654879494271,29833,70443,0.423505529293187,38815,0.551012875658334
"ALEXANDER",18442,24439,0.754613527558411,3767,18097,0.208156047963751,13893,0.767696303254683
"ALLEGHANY",5376,7470,0.719678714859438,1306,5249,0.248809297008954,3814,0.726614593255858
"ANSON",10598,17413,0.608625739390111,5859,10494,0.558319039451115,4506,0.429388221841052
"ASHE",13637,19049,0.71589059793165,3500,13244,0.264270613107822,9412,0.710661431591664
"AVERY",8326,11975,0.695281837160752,1689,8153,0.207163007481908,6298,0.772476389059242
"BEAUFORT",24054,33342,0.721432427568832,8764,23733,0.369274849365862,14543,0.612775460329499
"BERTIE",9389,14250,0.658877192982456,5778,9304,0.621023215821152,3456,0.371453138435082
"BLADEN",15955,23096,0.690812261863526,7058,15820,0.44614412136536,8550,0.540455120101138
"BRUNSWICK",68712,95390,0.720327078310095,23282,67719,0.343803068562737,42720,0.630842156558721
"BUNCOMBE",140014,198564,0.705132853890937,75452,135453,0.557034543347139,55716,0.411330867533388
"BURKE",39184,58586,0.668828730413409,11251,38477,0.292408451802375,26238,0.681913870624009
"CABARRUS",93702,132624,0.70652370611654,35521,92126,0.385569763150468,53819,0.58418904543777
"CALDWELL",36536,55487,0.658460540306738,8425,35895,0.234712355481265,26621,0.741635325254214
"CAMDEN",5036,7685,0.65530253741054,1274,4969,0.256389615616824,3546,0.713624471724693
"CARTERET",37976,53020,0.716258015843078,9939,37421,0.26559952967585,26569,0.710002405066674
"CASWELL",11123,15838,0.702298269983584,4792,11032,0.43437273386512,6026,0.546229151559101
"CATAWBA",72729,104716,0.69453569655067,21216,71513,0.296673332121432,48324,0.67573727853677
"CHATHAM",40149,51520,0.779289596273292,21065,39300,0.536005089058524,17105,0.435241730279898
"CHEROKEE",14270,23867,0.597896677420706,2860,14050,0.20355871886121,10844,0.771814946619217
"CHOWAN",7254,10395,0.697835497835498,2992,7168,0.417410714285714,4014,0.559988839285714
"CLAY",6065,9040,0.670907079646018,1367,5947,0.229863796872373,4437,0.746090465781066
"CLEVELAND",44832,63825,0.702420681551116,14964,44293,0.337841193868106,28479,0.642968414873682
"COLUMBUS",23804,36625,0.649938566552901,9063,23641,0.383359417960323,14272,0.60369696713337
"CRAVEN",47235,72113,0.655013659118328,17630,46571,0.378561765905821,27731,0.595456399905521
"CUMBERLAND",128007,212582,0.602153521935065,71605,126243,0.567199765531554,51265,0.406081921373858
"CURRITUCK",12710,18931,0.671385558079341,2913,12558,0.231963688485428,9163,0.729654403567447
"DARE",19726,29550,0.667546531302876,7222,19356,0.373114279809878,11460,0.592064476131432
