county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Alamance,72266,110601,0.6533937306172639,34277,72160,0.4750138580931264,37062,0.5136086474501108
Alexander,20120,24891,0.8083242939214977,4113,20088,0.20474910394265233,15806,0.7868379131819992
Alleghany,6040,7612,0.7934839726747241,1480,6032,0.2453580901856764,4501,0.7461870026525199
Anson,10616,16510,0.6430042398546335,5685,10607,0.5359668143678703,4850,0.4572452154237768
Ashe,0,19410,0.0,0,0,0.0,0,0.0
Avery,9356,12388,0.755247013238618,2171,9339,0.232466002784024,7092,0.7593960809508513
Beaufort,24776,33999,0.7287273155092797,9245,24738,0.3737165494381114,15306,0.6187242299296629
Bertie,8305,13276,0.6255649291955409,5180,8301,0.6240212022647874,3075,0.3704372967112396
Bladen,17026,22863,0.7446966714779337,7281,17009,0.42806749367981656,9623,0.5657593038979364
Brunswick,84140,114610,0.7341418724369602,31766,83995,0.3781891779272576,51537,0.6135722364426454
Buncombe,160443,207157,0.774499534169736,95881,160039,0.5991102168846344,61983,0.387299345784465
Burke,44249,58146,0.7609981770027173,12985,44182,0.2938979674980761,30814,0.6974333438957041
Cabarrus,99716,150403,0.6629920945725817,46534,99463,0.4678523672119281,51817,0.5209675959904688
Caldwell,38286,54547,0.7018901131134618,9449,38215,0.24725892973963104,28439,0.7441842208556849
Camden,5892,8160,0.7220588235294118,1515,5879,0.25769688722571865,4277,0.7275046776662698
Carteret,36716,51891,0.7075600778555048,11085,36658,0.30238965573681054,25213,0.687789841235201
Caswell,0,15494,0.0,0,0,0.0,0,0.0
Catawba,80679,108606,0.7428595105242805,24904,80520,0.3092896174863388,54690,0.6792101341281669
Chatham,43581,57724,0.7549892592335944,25368,43495,0.5832394528106679,17713,0.40724221174847686
Cherokee,16341,22697,0.7199629907036172,3563,16312,0.21842815105443844,12568,0.7704757233938205
Chowan,7754,10275,0.7546472019464721,3232,7747,0.4171937524202917,4458,0.5754485607331871
Clay,5854,9127,0.6413936671414484,1563,5843,0.26749957213760056,4225,0.723087455074448
Cleveland,51095,67619,0.7556308138245168,16879,51024,0.33080511132016305,33664,0.6597679523361555
Columbus,23380,36801,0.6353088231298063,8787,23360,0.3761558219178082,14445,0.6183647260273972
Craven,51466,72832,0.7066399384885764,20602,51376,0.4010043600124572,30047,0.5848450638430396
Cumberland,143645,226965,0.6328949397484194,82473,143327,0.5754184487221529,58692,0.40949716382816914
Currituck,16006,21812,0.7338162479369155,4151,15973,0.2598760408188819,11566,0.7240969135416014
Dare,19991,30129,0.6635135583656941,8952,19949,0.4487442979597975,10805,0.5416311594566143
Davidson,75131,113523,0.6618130246734142,19627,75020,0.261623567048787,54554,0.7271927486003732
Davie,22918,31448,0.7287585856016281,6324,22850,0.27676148796498906,16269,0.7119912472647703
Duplin,18358,30547,0.6009755458801191,7513,18342,0.4096063678988115,10724,0.5846690655326573
Durham,168371,244340,0.6890848817221904,137439,167937,0.818396184283392,28619,0.17041509613724193
Edgecombe,22298,35661,0.6252769131544264,14314,22278,0.6425172816231259,7846,0.3521860131071012
Forsyth,172297,271771,0.6339786069889723,101452,171840,0.5903864059590317,68500,0.3986266294227188
Franklin,0,47495,0.0,0,0,0.0,0,0.0
Gaston,110264,151635,0.7271672107363076,39307,110054,0.35716103003979865,69587,0.6322986897341305
Gates,5346,8333,0.6415456618264731,2385,5341,0.44654559071334954,2917,0.546152405916495
Graham,4612,6069,0.7599275004119295,896,4606,0.1945288753799392,3667,0.7961354754667824
Granville,0,40060,0.0,0,0,0.0,0,0.0
Greene,8724,11389,0.7660022829045571,3820,8715,0.438324727481354,4858,0.557429718875502
Guilford,253765,383465,0.6617683491322546,157173,253160,0.6208445252014536,93299,0.3685376836783062
Halifax,19069,37792,0.5045776883996613,10980,19056,0.5761964735516373,7985,0.4190281276238455
Harnett,57733,82006,0.7040094627222399,21839,57633,0.3789322089774955,34905,0.60564260059341
Haywood,35430,46373,0.7640221680719385,12927,35345,0.36573772810864336,21964,0.6214174565002122
Henderson,67179,87486,0.7678828612578013,26882,67036,0.4010084133898204,39224,0.5851184438212303
