county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Adams,11583,16945,0.683564473295957,2326,11320,0.20547703180211999,8659,0.764929328621908,7158,17246,0.41505276585874973,1563,7158,0.21835708298407375,5531,0.7727018720312937
Allen,46735,68054,0.6867340641255469,13294,45815,0.290166975881262,30487,0.6654370839244791,0,67374,0.0,0,0,0.0,0,0.0
Ashland,25104,35452,0.7081123772988829,5740,24507,0.23421879463010603,17493,0.7137960582690659,0,34837,0.0,0,0,0.0,0,0.0
Ashtabula,41797,60624,0.6894464238585379,15577,40806,0.38173307846885296,23318,0.57143557320002,23021,61453,0.374611491709111,11246,23021,0.4885104904217888,11458,0.4977194735241736
Athens,30042,45418,0.6614558104716189,16370,29405,0.556708042849855,11354,0.386124808706002,0,39344,0.0,0,0,0.0,0,0.0
Auglaize,24019,31666,0.7585107054885369,3980,23583,0.16876563626341,18658,0.7911631259805791,14027,32489,0.4317461294592016,3401,14027,0.2424609681328866,10467,0.7462037499108861
Belmont,31848,46971,0.678035383534521,8785,31079,0.282666752469513,21108,0.679172431545416,19580,46315,0.4227572060887401,6995,19580,0.3572522982635342,12377,0.6321246169560776
Brown,19889,28405,0.700193627882415,4353,19555,0.222602914855536,14573,0.7452313986192791,0,29069,0.0,0,0,0.0,0,0.0
Butler,176301,247972,0.7109713999967741,58642,173147,0.33868331533321394,106976,0.617833401676033,50521,256908,0.1966501627041587,27136,50521,0.537123176500861,22719,0.44969418657587934
Carroll,13368,18002,0.742584157315854,3154,13035,0.241963943229766,9254,0.709934790947449,7661,18416,0.41599695916594265,2346,7661,0.3062263412087195,5216,0.6808510638297872
Champaign,18548,25696,0.721824408468244,4594,18058,0.254402480894894,12631,0.699468379665522,11740,26492,0.4431526498565605,3885,11740,0.3309199318568995,7688,0.654855195911414
Clark,62756,89006,0.705076062287936,23328,61265,0.380772055823064,35205,0.5746347833183709,40125,89826,0.4466969474317013,18715,40125,0.4664174454828661,20858,0.5198255451713396
Clermont,100859,136454,0.739142861330558,26715,98786,0.270433057315814,67518,0.6834774158281539,45731,145129,0.31510587132826656,20608,45731,0.4506352364916578,24593,0.537775250923881
Clinton,18966,26351,0.719744981215134,4066,18625,0.218308724832215,13838,0.7429798657718121,11959,27616,0.4330460602549247,3542,11959,0.2961786102516933,8263,0.6909440588677983
Columbiana,47025,65637,0.7164404223227749,12432,46057,0.26992639555333603,31676,0.687756475671451,22042,66293,0.3324936267780912,8655,22042,0.3926594682878142,13096,0.594138462934398
Coshocton,15865,22905,0.692643527614058,4013,15499,0.25891993031808497,10785,0.6958513452480811,11091,22730,0.4879454465464144,3352,11091,0.302227030925976,7549,0.6806419619511316
Crawford,19534,28096,0.695259111617312,4625,19190,0.241010943199583,13611,0.709275664408546,13039,28211,0.4621955974619829,3859,13039,0.2959582790091265,9012,0.6911572973387529
Cuyahoga,617350,890626,0.6931641339911478,398271,602595,0.660926492918129,184211,0.30569619728009695,307496,888556,0.3460626004438662,229994,307496,0.7479576970106928,74922,0.2436519499440643
Darke,25821,34063,0.75803657927957,4470,25403,0.17596346888162803,20012,0.787780970751486,10253,34669,0.29573970982722314,1709,10253,0.1666829220715888,8446,0.8237588998341949
Defiance,18603,25629,0.7258574271333259,5368,18119,0.296263590705889,11688,0.645068712401347,13066,26411,0.4947181098784597,4839,13066,0.37035052808816776,8042,0.6154905862544008
Delaware,106996,133074,0.8040338458301399,40872,103557,0.3946811900692371,57568,0.555906409030775,86255,151756,0.5683795039405362,46562,86255,0.539817981566286,38585,0.44733638629644656
Erie,38478,53103,0.7245918309700021,16057,37501,0.42817524866003603,19648,0.52393269512813,22688,54129,0.4191468528884701,12253,22688,0.5400652327221439,10138,0.4468441466854725
