county,ballotscast_2016,registered_2016,turnout_2016,clinton_2016,presvotes_2016,clintonpct_2016,trump_2016,trumppct_2016,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Adams,47489,66718,0.711786924068467,14219,47489,0.29941670702689005,31423,0.661690075596454,55720,72341,0.7702409422042825,17919,55720,0.32159009332376165,37009,0.6641959798994975
Allegheny,650114,924631,0.703106428402249,367617,650114,0.5654654414456539,259480,0.399129998738683,672903,942747,0.7137683811245222,396767,672903,0.5896347616224032,268340,0.3987796160813669
Armstrong,31618,42552,0.7430438052265459,7178,31618,0.22702258207350198,23484,0.742741476374217,33624,44820,0.7502008032128514,7130,33624,0.2120509160123721,26105,0.7763799666904592
Beaver,83571,113598,0.735673163259917,32531,83571,0.389261825274318,48167,0.576360220650704,92496,116918,0.7911185617270223,37389,92496,0.4042228853139595,53886,0.5825765438505449
Bedford,23637,34460,0.6859257109692399,3645,23637,0.154207386724204,19552,0.827177729830351,26973,34238,0.787808867340382,4266,26973,0.15815815815815815,22529,0.8352426500574649
Berks,183065,259800,0.70463818321786,78437,183065,0.428465299210663,96626,0.527823450686914,198260,272198,0.7283668506014005,89530,198260,0.4515787349944517,105941,0.5343538787450822
Blair,54909,77834,0.705462908240615,13958,54909,0.25420240761988,39135,0.71272468994154,62421,80499,0.775425781686729,17251,62421,0.2763653257717755,44540,0.7135419169830666
Bradford,25708,37649,0.6828335413955219,6369,25708,0.24774389295160998,18141,0.705655826979928,29260,38861,0.7529399655181287,7729,29260,0.26414900888585097,21037,0.7189678742310321
Bucks,344297,460832,0.747120425664884,167060,344297,0.48522060895099295,164361,0.47738144683224104,376746,488074,0.7719034408716711,192719,376746,0.5115356234704549,180077,0.4779798591093203
Butler,97071,129728,0.748265601874692,28584,97071,0.294464876224619,64428,0.6637203696263559,110960,143225,0.7747250829115029,36534,110960,0.329253785147801,73023,0.6581020187454939
Cambria,63072,86848,0.7262343404568901,18867,63072,0.29913432267884305,42258,0.669996194824962,69420,88273,0.7864239348385124,21293,69420,0.306727167963123,47386,0.6825986747335062
Cameron,2186,3232,0.676361386138614,531,2186,0.242909423604758,1589,0.726898444647758,2434,3112,0.7821336760925451,634,2434,0.2604765817584224,1771,0.727608874281019
Carbon,28776,42228,0.681443591929525,8936,28776,0.31053655824298,18743,0.6513413956074511,32725,46978,0.6966026650772702,10943,32725,0.3343926661573721,21367,0.6529258976317801
Centre,76148,123341,0.6173778386748929,37088,76148,0.48705153122865996,35274,0.46322950044649897,76803,112093,0.6851721338531398,39711,76803,0.5170501152298739,36041,0.4692655234821557
Chester,268800,354459,0.7583387641447951,141682,268800,0.527090773809524,116114,0.431971726190476,307358,380296,0.8082072911626733,177408,307358,0.577203131202051,126446,0.41139648227799497
Clarion,17535,24090,0.7278953922789541,4273,17535,0.24368406045052696,12576,0.717194183062446,19213,24383,0.7879670262067834,4615,19213,0.24020194659865715,14363,0.7475667516785508
Clearfield,34271,53226,0.643877052568294,8200,34271,0.23926935309737102,24932,0.727495550173616,39124,49699,0.7872190587335761,9598,39124,0.2453225641549944,28984,0.7408240466209999
Clinton,15394,22303,0.690221046495987,4744,15394,0.308172015070807,10022,0.6510328699493311,17293,22390,0.7723537293434569,5406,17293,0.3126120395535766,11668,0.674723876713121
Columbia,28228,40868,0.6907115591660961,8934,28228,0.31649426101742895,18004,0.63780643332861,30569,39948,0.7652197857214379,10289,30569,0.3365828126533416,19752,0.6461447872027217
Crawford,37492,53386,0.7022814970216911,10971,37492,0.29262242611757205,24987,0.6664621785981011,36944,56579,0.6529631135226851,10052,36944,0.2720874837592031,26439,0.7156507145950628
Cumberland,121617,166965,0.728398167280568,47085,121617,0.387158045339056,69076,0.56797980545483,139399,187258,0.7444221341678326,61168,139399,0.4387979827688864,76149,0.5462664724998028
Dauphin,130872,190301,0.6877105217523821,64706,130872,0.49442203068647206,60863,0.465057460724983,144123,197778,0.7287109789764281,77125,144123,0.5351331848490526,65074,0.4515171069156207
Delaware,297634,412854,0.720918290727473,177402,297634,0.596040774911468,110667,0.37182243964063205,309193,425405,0.7268203241616812,193177,309193,0.6247780512495432,113248,0.36626961153713056
Elk,14426,20244,0.7126062043074491,3853,14426,0.267087203660058,10025,0.6949258283654511,16611,20587,0.8068684121047263,4440,16611,0.26729275781108897,11931,0.7182589850099331
