"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"Adams",47489,66718,0.711786924068467,14219,47489,0.29941670702689,31423,0.661690075596454
"Allegheny",650114,924631,0.703106428402249,367617,650114,0.565465441445654,259480,0.399129998738683
"Armstrong",31618,42552,0.743043805226546,7178,31618,0.227022582073502,23484,0.742741476374217
"Beaver",83571,113598,0.735673163259917,32531,83571,0.389261825274318,48167,0.576360220650704
"Bedford",23637,34460,0.68592571096924,3645,23637,0.154207386724204,19552,0.827177729830351
"Berks",183065,259800,0.70463818321786,78437,183065,0.428465299210663,96626,0.527823450686914
"Blair",54909,77834,0.705462908240615,13958,54909,0.25420240761988,39135,0.71272468994154
"Bradford",25708,37649,0.682833541395522,6369,25708,0.24774389295161,18141,0.705655826979928
"Bucks",344297,460832,0.747120425664884,167060,344297,0.485220608950993,164361,0.477381446832241
"Butler",97071,129728,0.748265601874692,28584,97071,0.294464876224619,64428,0.663720369626356
"Cambria",63072,86848,0.72623434045689,18867,63072,0.299134322678843,42258,0.669996194824962
"Cameron",2186,3232,0.676361386138614,531,2186,0.242909423604758,1589,0.726898444647758
"Carbon",28776,42228,0.681443591929525,8936,28776,0.31053655824298,18743,0.651341395607451
"Centre",76148,123341,0.617377838674893,37088,76148,0.48705153122866,35274,0.463229500446499
"Chester",268800,354459,0.758338764144795,141682,268800,0.527090773809524,116114,0.431971726190476
"Clarion",17535,24090,0.727895392278954,4273,17535,0.243684060450527,12576,0.717194183062446
"Clearfield",34271,53226,0.643877052568294,8200,34271,0.239269353097371,24932,0.727495550173616
"Clinton",15394,22303,0.690221046495987,4744,15394,0.308172015070807,10022,0.651032869949331
"Columbia",28228,40868,0.690711559166096,8934,28228,0.316494261017429,18004,0.63780643332861
"Crawford",37492,53386,0.702281497021691,10971,37492,0.292622426117572,24987,0.666462178598101
"Cumberland",121617,166965,0.728398167280568,47085,121617,0.387158045339056,69076,0.56797980545483
"Dauphin",130872,190301,0.687710521752382,64706,130872,0.494422030686472,60863,0.465057460724983
"Delaware",297634,412854,0.720918290727473,177402,297634,0.596040774911468,110667,0.371822439640632
"Elk",14426,20244,0.712606204307449,3853,14426,0.267087203660058,10025,0.694925828365451
"Erie",123679,190222,0.650182418437405,58112,123679,0.469861496292823,60069,0.485684716079528
"Fayette",53767,83852,0.641213089729523,17946,53767,0.333773504194022,34590,0.643331411460561
"Forest",2401,3330,0.721021021021021,626,2401,0.260724698042482,1683,0.700957934194086
"Franklin",69731,93018,0.749650605259197,17465,69731,0.250462491574766,49768,0.713714130013911
"Fulton",6771,9187,0.737019701752476,912,6771,0.134692069118299,5694,0.840939299955693
"Greene",15764,22590,0.697830898627711,4482,15764,0.284318700837351,10849,0.688213651357523
"Huntingdon",19706,29781,0.661697055169403,4539,19706,0.230335938292906,14494,0.73551202679387
"Indiana",37770,51853,0.728405299596937,11528,37770,0.305215779719354,24888,0.658935663224782
"Jefferson",19478,29926,0.650872151306556,3650,19478,0.187390902556731,15192,0.779956874422425
"Juniata",10454,13840,0.755346820809249,1821,10454,0.174191696958102,8273,0.791371723742108
"Lackawanna",103456,148104,0.698536163776805,51983,103456,0.502464815960408,48384,0.467677080111352
"Lancaster",241112,335791,0.718041877239116,91093,241112,0.377803676299811,137914,0.571991439662895
"Lawrence",40753,57049,0.71435082122386,14009,40753,0.343753834073565,25428,0.623954064731431
"Lebanon",61845,86878,0.711860309859803,18953,61845,0.306459697631175,40525,0.655267200258711
"Lehigh",160993,236081,0.681939673247741,81324,160993,0.50513997502997,73690,0.457721764300311
"Luzerne",134983,205332,0.657389009019539,52451,134983,0.388574857574658,78688,0.582947482275546
"Lycoming",50565,69764,0.724800756837337,13020,50565,0.257490358943934,35627,0.704578265598734
"Mercer",52309,77265,2.0998354140741,18733,52309,0.358121929304709,31544,0.603031983023954
"Mifflin",18601,25933,0.240742897819194,3877,18601,0.20842965431966,14094,0.757701198860276
"Monroe",69752,109247,2.68970038175298,33918,69752,0.486265626792063,33386,0.47863860534465
"Montgomery",434687,577418,3.97893763673144,256082,434687,0.589118147080543,162731,0.374363622560601
"Montour",8556,13098,0.014817688399045,2857,8556,0.333917718560075,5288,0.618045815801777
"McKean",16296,24911,1.24415941365094,4025,16296,0.246993127147766,11635,0.713978890525282
"Northampton",143519,211402,0.678891401216639,66272,143519,0.461764644402483,71736,0.499836258613842
"Northumberland",36622,56496,0.648222883035967,9788,36622,0.267271039266015,25427,0.694309431489269
"Perry",21158,28727,0.736519650503011,4632,21158,0.218924283958786,15616,0.738065979771245
"Philadelphia",707631,1102560,0.641807248585111,584025,707631,0.825324215586937,108748,0.153678965449507
"Pike",26101,40087,0.651108838276748,9256,26101,0.354622428259454,16056,0.615148844871844
"Potter",7784,11005,0.707314856883235,1302,7784,0.16726618705036,6251,0.803057553956834
"Schuylkill",62869,87989,0.714509768266488,16770,62869,0.266745136712847,44001,0.699883885539773
"Snyder",16363,22264,0.7349532878189,4002,16363,0.244576177962476,11725,0.716555643830593
"Somerset",35773,49693,0.719880063590445,7376,35773,0.206189025242501,27379,0.765353758421156
"Sullivan",3136,4404,0.712079927338783,750,3136,0.239158163265306,2291,0.730548469387755
"Susquehanna",18863,26373,0.715239070261252,5123,18863,0.271589884959975,12891,0.683401367756985
"Tioga",18325,26592,0.689117027677497,3901,18325,0.212878581173261,13614,0.742919508867667
"Union",17468,24669,0.708095180185658,6180,17468,0.353789787039157,10622,0.608083352415846
"Venango",23348,32655,0.714990047465932,6309,23348,0.27021586431386,16021,0.686182970704129
"Warren",18434,30146,0.611490745040801,5145,18434,0.27910382987957,12477,0.676847130302702
"Washington",101450,138835,0.730723520726042,36322,101450,0.358028585510104,61386,0.605086249383933
"Wayne",24018,33683,0.713060000593771,7008,24018,0.291781164126905,16244,0.676326088766758
"Westmoreland",182051,246020,0.739984554101293,59669,182051,0.327759803571527,116522,0.640051414164163
"Wyoming",13144,16865,0.779365549955529,3811,13144,0.289942178940962,8837,0.672321972002435
"York",205986,295895,0.696145592186417,68524,205986,0.332663384890235,128528,0.623964735467459
"STATEWIDE",6115402,8722977,0.701068224758589,2926441,6115402,0.478536161645629,2970733,0.48577885803746
