county,ballotscast_2020,registered_2020,turnout_2020,biden_2020,presvotes_2020,bidenpct_2020,trump_2020,trumppct_2020
Adams,11119,72341,0.15370260294991775,2443,11119,0.21971400305782895,8486,0.763198129328177
Allegheny,111477,942747,0.11824699521716855,89303,111477,0.801089013877302,20765,0.18627160759618577
Armstrong,4270,44820,0.09526996876394467,677,4270,0.15854800936768149,3552,0.8318501170960187
Beaver,0,116918,0.0,0,0,0.0,0,0.0
Bedford,0,34238,0.0,0,0,0.0,0,0.0
Berks,0,272198,0.0,0,0,0.0,0,0.0
Blair,29667,80499,0.3685387396116722,8910,29667,0.3003337041156841,20457,0.6895540499544949
Bradford,0,38861,0.0,0,0,0.0,0,0.0
Bucks,0,488074,0.0,0,0,0.0,0,0.0
Butler,6071,143225,0.042387851282946414,973,6071,0.16027013671553286,5001,0.8237522648657553
Cambria,21302,88273,0.24131954278205114,3983,21302,0.18697774856820956,17085,0.8020373673833443
Cameron,0,3112,0.0,0,0,0.0,0,0.0
Carbon,0,46978,0.0,0,0,0.0,0,0.0
Centre,28263,112093,0.25213884899146244,22389,28263,0.7921664366840038,5584,0.1975727983582776
Chester,17366,380296,0.045664429812567055,6989,17366,0.40245306921570884,10145,0.584187492802027
Clarion,8685,24383,0.35619078866423326,1476,8685,0.1699481865284974,7110,0.8186528497409327
Clearfield,0,49699,0.0,0,0,0.0,0,0.0
Clinton,10836,22390,0.48396605627512285,4090,10836,0.3774455518641565,6600,0.6090808416389811
Columbia,0,39948,0.0,0,0,0.0,0,0.0
Crawford,0,56579,0.0,0,0,0.0,0,0.0
Cumberland,46515,187258,0.24840060237746853,13386,46515,0.2877781360851338,32359,0.6956680640653553
Dauphin,41741,197778,0.21104976286543498,33632,41741,0.8057305766512541,7734,0.18528545075585157
Delaware,0,425405,0.0,0,0,0.0,0,0.0
Elk,14038,20587,0.6818866274833633,4020,14038,0.28636557914232796,9824,0.6998147884314004
Erie,5645,202684,0.027851236407412525,2794,5645,0.4949512843224092,2759,0.4887511071744907
Fayette,0,82389,0.0,0,0,0.0,0,0.0
Forest,0,3508,0.0,0,0,0.0,0,0.0
Franklin,37857,100996,0.3748366271931562,6119,37857,0.16163457220593286,31222,0.8247351876799535
Fulton,1194,9837,0.12137846904544068,505,1194,0.42294807370184256,669,0.5603015075376885
Greene,4322,22813,0.18945338184368563,754,4322,0.17445627024525684,3525,0.8155946321147617
Huntingdon,0,28426,0.0,0,0,0.0,0,0.0
Indiana,15673,51795,0.30259677575055505,3114,15673,0.19868563772092132,12367,0.7890639954061124
Jefferson,18018,32032,0.5625,3801,18018,0.21095571095571095,13943,0.7738372738372739
Juniata,0,14487,0.0,0,0,0.0,0,0.0
Lackawanna,26239,149406,0.1756221303026652,11415,26239,0.43503944510080417,14558,0.5548229734364877
Lancaster,0,354183,0.0,0,0,0.0,0,0.0
Lawrence,0,57453,0.0,0,0,0.0,0,0.0
Lebanon,0,92642,0.0,0,0,0.0,0,0.0
Lehigh,0,249418,0.0,0,0,0.0,0,0.0
Luzerne,44700,220886,0.2023668317593691,23420,44700,0.523937360178971,20867,0.46682326621923936
Lycoming,41430,73763,0.5616637067364397,13284,41430,0.32063721940622736,27568,0.6654115375331885
Mercer,3620,25850,0.1400386847195358,646,3620,0.17845303867403314,2923,0.8074585635359116
Mifflin,0,74909,0.0,0,0,0.0,0,0.0
Monroe,741,27361,0.027082343481597895,390,741,0.5263157894736842,335,0.45209176788124156
Montgomery,82711,118311,0.6990981396488914,73917,82711,0.8936779872084729,8466,0.10235639757710582
Montour,0,609137,0.0,0,0,0.0,0,0.0
McKean,2221,14013,0.158495682580461,337,2221,0.15173345339936967,1864,0.8392615938766321
Northampton,42593,227378,0.18732243224938208,27399,42593,0.6432747165027117,14742,0.34611321109102433
Northumberland,20457,57618,0.3550452983442674,4508,20457,0.220364667351029,15631,0.7640905313584592
Perry,15593,30027,0.5192992972990975,4365,15593,0.2799333034053742,10960,0.7028794972102866
Philadelphia,14584,1129425,0.012912765345197778,9779,14584,0.6705293472298409,4680,0.32089961601755346
Pike,13058,44668,0.2923345571773977,8500,13058,0.6509419512942257,4421,0.338566396079032
Potter,0,11310,0.0,0,0,0.0,0,0.0
Schuylkill,13480,90423,0.14907711533569998,5509,13480,0.4086795252225519,7786,0.5775964391691395
Snyder,4510,23700,0.19029535864978903,614,4510,0.1361419068736142,3840,0.8514412416851441
Somerset,0,49279,0.0,0,0,0.0,0,0.0
Sullivan,0,4329,0.0,0,0,0.0,0,0.0
Susquehanna,8236,27212,0.30266059091577246,3702,8236,0.4494900437105391,4431,0.538003885381253
Tioga,9329,26916,0.34659681973547335,1655,9329,0.17740379461893022,7498,0.8037303033551292
Union,9639,26256,0.3671160877513711,4095,9639,0.42483660130718953,5397,0.5599128540305011
Venango,0,33299,0.0,0,0,0.0,0,0.0
Warren,5031,31431,0.16006490407559415,3061,5031,0.6084277479626317,1883,0.3742794673027231
Washington,54408,154023,0.35324594378761615,29065,54408,0.5342045287457727,24750,0.4548963387737098
Wayne,8643,35687,0.24218903242076947,5387,8643,0.623278954066875,3194,0.36954761078329285
Westmoreland,0,253861,0.0,0,0,0.0,0,0.0
Wyoming,0,18342,0.0,0,0,0.0,0,0.0
York,0,311188,0.0,0,0,0.0,0,0.0
STATEWIDE,855282,9091371,0.0940762399862463,440406,855282,0.5149249019621599,404981,0.47350581445651846
