"county","ballotscast_2016","registered_2016","turnout_2016","clinton_2016","presvotes_2016","clintonpct_2016","trump_2016","trumppct_2016"
"Anderson",16977,28111,0.603927288250151,3369,16935,0.198937112488928,13201,0.779509890758784
"Andrews",4943,9130,0.541401971522453,836,4928,0.169642857142857,3927,0.796875
"Angelina",29911,51610,0.579558225150165,7538,29872,0.252343331547938,21668,0.725361542581682
"Aransas",10512,17263,0.60893239877194,2465,10484,0.235120183136208,7740,0.738267836703548
"Archer",4283,6314,0.67833386126069,394,4270,0.092271662763466,3786,0.886651053864169
"Armstrong",1021,1391,0.734004313443566,70,1017,0.068829891838741,924,0.908554572271386
"Atascosa",13673,26488,0.516196013289037,4651,13642,0.340932414601964,8618,0.631725553437912
"Austin",12274,19263,0.63718008617557,2320,12256,0.189295039164491,9637,0.786308746736292
"Bailey",1793,3714,0.482767905223479,397,1785,0.222408963585434,1344,0.752941176470588
"Bandera",10218,15524,0.658206647771193,1726,10217,0.168934129392189,8163,0.798962513457962
"Bastrop",28454,45137,0.63039191793872,10569,28280,0.373727015558699,16328,0.577369165487977
"Baylor",1499,2433,0.616111796136457,191,1492,0.128016085790885,1267,0.849195710455764
"Bee",8485,15709,0.540136227640206,3444,8460,0.40709219858156,4744,0.560756501182033
"Bell",94994,186533,0.50926109589188,37801,94435,0.400285910944036,51998,0.550622121035633
"Bexar",589645,1045357,0.56406089020306,319550,586619,0.544731759455456,240333,0.40969181018685
"Blanco",5685,8033,0.707705713930039,1244,5669,0.219439054506968,4212,0.742988181337097
"Borden",365,463,0.788336933045356,31,365,0.084931506849315,330,0.904109589041096
"Bosque",7838,12002,0.653057823696051,1278,7812,0.163594470046083,6339,0.811443932411674
"Bowie",34602,59083,0.585650694785302,8838,34489,0.25625561773319,24924,0.722665197599235
"Brazoria",121181,196507,0.616675232943356,43200,120565,0.358312943225646,72791,0.60374901505412
"Brazos",67211,106804,0.629292910377888,23121,66208,0.34921761720638,38738,0.585095456742388
"Brewster",4252,7369,0.577011806215226,1873,4237,0.442058059948076,2077,0.49020533396271
"Briscoe",736,1096,0.671532846715328,91,734,0.123978201634877,625,0.85149863760218
"Brooks",2596,6428,0.403858120721842,1937,2596,0.746147919876733,613,0.23613251155624
"Brown",14026,23424,0.598787568306011,1621,13956,0.116150759529951,12017,0.861063341931786
"Burleson",6960,11637,0.598092291827791,1491,6945,0.214686825053996,5316,0.765442764578834
"Burnet",19204,29587,0.649068847804779,3797,19103,0.198764591948909,14638,0.76626707846935
"Caldwell",12092,22560,0.535992907801418,4795,12037,0.39835507186176,6691,0.555869402675085
"Calhoun",6965,12863,0.54147555002721,2118,6957,0.304441569642087,4638,0.666666666666667
"Callahan",5579,9192,0.606940818102698,569,5564,0.102264557872035,4865,0.874370956146657
"Cameron",92079,197726,0.46568989409587,59402,91932,0.646151503285037,29472,0.320584780054823
"Camp",4542,7582,0.599050382484832,1260,4542,0.277410832232497,3201,0.704755614266843
"Carson",2964,4317,0.686587908269632,249,2948,0.084464043419267,2620,0.888738127544098
"Cass",12344,20040,0.615968063872255,2391,12296,0.194453480806766,9726,0.790988939492518
"Castro",1997,3959,0.504420308158626,526,1997,0.263395092638958,1414,0.70806209313971
"Chambers",16786,26930,0.623319717786855,2948,16731,0.176199868507561,13339,0.797262566493336
"Cherokee",16790,27788,0.604217647905571,3469,16727,0.2073892509117,12919,0.772344114306212
"Childress",2084,3564,0.584736251402918,253,2084,0.121401151631478,1802,0.86468330134357
"Clay",5018,7656,0.655433646812957,536,5012,0.106943335993615,4377,0.873304070231444
"Cochran",901,1777,0.507034327518289,190,901,0.210876803551609,679,0.753607103218646
"Coke",1423,2192,0.649178832116788,140,1423,0.098383696416023,1265,0.888966971187632
"Coleman",3643,5942,0.613093234601144,388,3636,0.106710671067107,3177,0.873762376237624
"Collin",361419,537358,0.672585129466761,140624,358032,0.392769361397864,201014,0.561441435402422
"Collingsworth",1156,1901,0.608100999473961,145,1154,0.125649913344887,983,0.851819757365685
"Colorado",8513,13871,0.613726479705861,1987,8493,0.233957376663134,6325,0.744730954904039
"Comal",62178,92403,0.672900230511996,14238,61785,0.230444282592862,45136,0.730533300963017
"Comanche",5237,8911,0.587700594770508,789,5231,0.150831580959664,4333,0.828331103039572
"Concho",1068,1662,0.642599277978339,148,1067,0.138706654170572,885,0.829428303655108
"Cooke",15955,25086,0.636012118313003,2352,15910,0.147831552482715,13181,0.828472658705217
"Coryell",18253,37644,0.484884709382637,5064,18154,0.278946788586537,12225,0.67340531012449
"Cottle",612,1072,0.57089552238806,92,612,0.150326797385621,506,0.826797385620915
"Crane",1384,2679,0.516610675625233,299,1383,0.216196673897325,1049,0.758496023138106
"Crockett",1395,2553,0.54641598119859,372,1395,0.266666666666667,980,0.702508960573477
"Crosby",1728,3604,0.479467258601554,468,1714,0.273045507584597,1181,0.689031505250875
"Culberson",767,1762,0.435300794551646,454,763,0.595019659239843,280,0.36697247706422
"Dallam",1544,3151,0.490003173595684,222,1538,0.144343302990897,1261,0.819895968790637
"Dallas",758973,1287082,0.589685039492433,461080,754164,0.611378957362059,262945,0.348657586413565
"Dawson",3563,7343,0.485224022878932,835,3562,0.234418865805727,2636,0.740033688938798
"Deaf Smith",4216,8669,0.486330603299112,1185,4201,0.282075696262795,2911,0.692930254701262
"Delta",2281,3845,0.593237971391417,400,2279,0.175515577007459,1836,0.805616498464239
"Denton",298645,464790,0.64253749004927,110890,295736,0.374962804663619,170603,0.576875997511294
"Dewitt",6844,11856,0.577260458839406,1163,6833,0.170203424557295,5519,0.807697936484706
"Dickens",909,1330,0.683458646616541,128,909,0.140814081408141,755,0.830583058305831
"Dimmit",3225,7440,0.433467741935484,2173,3225,0.673798449612403,974,0.302015503875969
"Donley",1465,2312,0.633650519031142,191,1461,0.130732375085558,1225,0.838466803559206
"Duval",4168,8357,0.498743568266124,2783,4167,0.667866570674346,1316,0.315814734821214
"Eastland",6963,11683,0.595994179577163,776,6938,0.111847794753531,6011,0.86638800807149
"Ector",36530,73142,0.499439446556014,10249,36445,0.281218274111675,25020,0.686513925092605
"Edwards",1073,1514,0.708718626155878,303,1071,0.282913165266106,746,0.696545284780579
"Ellis",63673,102235,0.622810192204235,16253,63266,0.25689944045775,44941,0.710349951000537
"El Paso",214008,428319,0.499646291665791,147843,213907,0.69115550215748,55512,0.259514648889471
"Erath",13893,21537,0.645075915865719,2160,13816,0.156340474811812,11210,0.811378112333526
"Falls",5248,10135,0.517809570794277,1684,5238,0.321496754486445,3441,0.656930126002291
"Fannin",12044,20565,0.585655239484561,2132,11995,0.177740725302209,9548,0.795998332638599
"Fayette",11174,16279,0.686405798881995,2144,11141,0.192442330131945,8743,0.784758998294588
"Fisher",1729,2769,0.624413145539906,403,1722,0.234030197444832,1265,0.734610917537747
"Floyd",1959,4068,0.481563421828909,435,1959,0.222052067381317,1474,0.752424706482899
"Foard",513,948,0.541139240506329,113,511,0.221135029354207,383,0.749510763209393
"Fort Bend",262066,404035,0.648622025319589,134686,260667,0.516697548980116,117291,0.449964897743098
"Franklin",4380,6798,0.644307149161518,665,4358,0.152592932537861,3585,0.822625057365764
"Freestone",7684,11987,0.641027780095103,1471,7649,0.192312720617074,6026,0.787815400705975
"Frio",4400,9130,0.481927710843373,2444,4400,0.555454545454545,1856,0.421818181818182
"Gaines",4620,8616,0.536211699164345,597,4609,0.129529182035149,3907,0.847689303536559
"Galveston",122903,208232,0.590221483729686,43658,122349,0.356831686405283,73757,0.602841053053151
"Garza",1484,2721,0.545387725101066,230,1483,0.155091031692515,1225,0.826028320971005
"Gillespie",13214,18968,0.69664698439477,2288,13128,0.174283973187081,10446,0.795703839122486
"Glasscock",604,769,0.785435630689207,34,602,0.056478405315615,553,0.918604651162791
"Goliad",3708,5580,0.664516129032258,973,3704,0.262688984881209,2620,0.707343412526998
"Gonzales",6334,12272,0.516134289439374,1571,6315,0.248772763262074,4587,0.726365795724466
"Gray",7405,12725,0.581925343811395,701,7367,0.095154065426904,6500,0.88231301751052
"Grayson",47416,78686,0.602597666675139,10301,47148,0.218482226181386,35325,0.749236446933062
"Gregg",41749,69403,0.601544601818365,11677,41494,0.281414180363426,28764,0.693208656673254
"Grimes",9533,15713,0.606695093234901,2194,9528,0.230268681780017,7065,0.741498740554156
"Guadalupe",57822,93543,0.618132837304769,18391,57457,0.32008284456202,36632,0.637555041161216
"Hale",8858,19473,0.454886252760232,2101,8834,0.237831107086258,6366,0.720624858501245
"Hall",1091,2021,0.539831766452251,164,1091,0.15032080659945,893,0.818515123739688
"Hamilton",3620,5467,0.662154746661789,479,3613,0.132576805978411,3060,0.846941599778577
"Hansford",1947,3065,0.635236541598695,171,1947,0.087827426810478,1730,0.888546481766821
"Hardeman",1513,2536,0.596608832807571,249,1511,0.164791528788882,1207,0.798808735936466
"Hardin",22780,38154,0.597054044136919,2780,22780,0.122036874451273,19606,0.860667251975417
"Harris",1312112,2234671,0.587161152581297,707914,1305434,0.542282489961193,545955,0.418217236566536
"Harrison",26548,44622,0.594953162117341,7151,26425,0.270614947965941,18749,0.709517502365185
"Hartley",1952,2975,0.656134453781513,173,1949,0.088763468445357,1730,0.887634684453566
"Haskell",1770,3394,0.521508544490277,314,1765,0.177903682719547,1403,0.794900849858357
"Hays",72164,121326,0.594794190857689,33224,71741,0.463110355305892,33826,0.471501651775136
"Hemphill",1695,2368,0.715793918918919,181,1689,0.107164002368265,1462,0.865600947306098
"Henderson",30045,50692,0.592697072516373,5669,29956,0.189244224863133,23650,0.789491253838964
"Hidalgo",173437,338562,0.512275447333132,118809,173095,0.686380311389699,48642,0.281013316386955
"Hill",12970,22825,0.568236582694414,2547,12951,0.196664350243224,10108,0.780480271793684
"Hockley",7311,13723,0.53275522844859,1260,7301,0.172579098753595,5809,0.795644432269552
"Hood",26262,38284,0.685978476648208,4008,26144,0.153304773561812,21382,0.817854957160343
"Hopkins",13538,22495,0.6018226272505,2510,13481,0.186187968251613,10707,0.794228914768934
"Houston",8353,13157,0.634871171239644,1978,8302,0.238255841965791,6205,0.747410262587328
"Howard",8723,17041,0.511883105451558,1770,8695,0.203565267395055,6637,0.763312248418631
"Hudspeth",871,1840,0.473369565217391,324,871,0.371986222732491,503,0.577497129735936
"Hunt",31554,52384,0.60235949908369,6396,31330,0.204149377593361,23910,0.763166294286626
"Hutchinson",8155,13620,0.598751835535977,854,8129,0.105055972444335,7042,0.866281215401648
"Irion",766,1338,0.572496263079223,90,760,0.118421052631579,660,0.868421052631579
"Jack",3350,5080,0.659448818897638,314,3339,0.094040131775981,2973,0.890386343216532
"Jackson",5302,9095,0.582957669048928,904,5275,0.171374407582938,4266,0.808720379146919
"Jasper",13419,23642,0.567591574316894,2590,13393,0.193384603897558,10609,0.792130217277682
"Jeff Davis",1191,1655,0.71963746223565,422,1176,0.358843537414966,695,0.590986394557823
"Jefferson",87618,149233,0.587122151266811,42443,87439,0.48540125115795,42862,0.490193163233797
"Jim Hogg",2119,3942,0.537544393708777,1635,2119,0.771590372817367,430,0.202925908447381
"Jim Wells",12379,26508,0.466991097027313,6694,12364,0.541410546748625,5420,0.438369459721773
"Johnson",57606,91725,0.628029435813573,10988,57299,0.191765999406621,44382,0.774568491596712
"Jones",5960,10101,0.59004059004059,936,5938,0.157628831256315,4819,0.811552711350623
"Karnes",4198,7934,0.529115200403327,1145,4192,0.273139312977099,2965,0.707299618320611
"Kaufman",41265,67544,0.610935094160843,10278,41045,0.250408088683153,29587,0.720842977220124
"Kendall",20120,29077,0.691955841386663,3643,19985,0.182286715036277,15700,0.78558919189392
"Kenedy",186,318,0.584905660377358,99,186,0.532258064516129,84,0.451612903225806
"Kent",434,615,0.705691056910569,59,433,0.136258660508083,360,0.831408775981524
"Kerr",23297,34644,0.672468537120425,4681,23181,0.201932617229628,17727,0.764721107803805
"Kimble",1952,2916,0.669410150891632,206,1945,0.105912596401028,1697,0.872493573264782
"King",159,202,0.787128712871287,5,159,0.031446540880503,149,0.937106918238994
"Kinney",1430,2243,0.637539010254124,458,1425,0.32140350877193,936,0.656842105263158
"Kleberg",9512,17998,0.528503167018558,4716,9489,0.496996522288966,4367,0.460217093476657
"Knox",1367,2445,0.559100204498977,247,1358,0.181885125184094,1078,0.793814432989691
"Lamar",18611,31011,0.600141885137532,3583,18557,0.193080778143019,14561,0.784663469310772
"Lamb",3995,8305,0.48103552077062,771,3975,0.193962264150943,3111,0.782641509433962
"Lampasas",8205,13786,0.595169012041201,1483,8168,0.181562193927522,6385,0.781709108716944
"Lasalle",2059,4173,0.493410016774503,1129,2055,0.549391727493917,872,0.424330900243309
"Lavaca",8661,13253,0.653512412284011,1170,8641,0.135400995255179,7347,0.8502488137947
"Lee",6535,10298,0.634589240629248,1372,6523,0.210332669017323,4997,0.766058562011344
"Leon",7439,11159,0.666636795411775,909,7407,0.122721749696233,6391,0.862832455785068
"Liberty",24267,43685,0.55549959940483,4862,24203,0.20088418791059,18892,0.780564392843862
"Limestone",7739,13667,0.56625448159801,1778,7729,0.230042696338465,5796,0.749902962867124
"Lipscomb",1332,2048,0.650390625,135,1322,0.102118003025719,1159,0.876701966717095
"Live Oak",4302,7255,0.592970365265334,742,4284,0.173202614379085,3464,0.80859010270775
"Llano",10447,15160,0.689116094986807,1825,10394,0.175582066576871,8299,0.798441408504907
"Loving",65,110,0.590909090909091,4,65,0.061538461538462,58,0.892307692307692
"Lubbock",99013,166489,0.594711962952507,28023,98224,0.285296872454797,65651,0.668380436553185
"Lynn",2009,3893,0.516054456717185,403,1997,0.201802704056084,1546,0.774161241862794
"Madison",4289,7193,0.596274155428889,881,4285,0.205600933488915,3351,0.782030338389732
"Marion",4238,7258,0.583907412510333,1165,4232,0.275283553875236,2983,0.704867674858223
"Martin",1762,3130,0.562939297124601,266,1757,0.151394422310757,1455,0.828116107000569
"Mason",2057,2966,0.693526635198921,354,2054,0.172346640701071,1656,0.806231742940604
"Matagorda",12196,21578,0.565205301696172,3500,12158,0.287876295443329,8366,0.688106596479684
"Maverick",13588,30689,0.442764508455798,10397,13588,0.76516043567854,2816,0.207241683838681
"Mcculloch",3103,5284,0.587244511733535,482,3094,0.155785391079509,2552,0.824822236586942
"Mclennan",79075,136088,0.581057844923873,27063,78288,0.345685162477008,48260,0.616441855712242
"Mcmullen",499,709,0.703808180535966,40,497,0.080482897384306,454,0.913480885311871
"Medina",17246,30318,0.568836994524705,4634,17228,0.268980729045739,12085,0.701474344091015
"Menard",864,1488,0.580645161290323,154,862,0.178654292343387,682,0.791183294663573
"Midland",49212,79919,0.615773470639022,10025,48868,0.20514447081935,36973,0.756589179012851
"Milam",8664,14794,0.585642828173584,2051,8642,0.237329321916223,6364,0.736403610275399
"Mills",2245,3441,0.652426620168556,243,2241,0.108433734939759,1951,0.870593485051316
"Mitchell",2196,4495,0.488542825361513,354,2191,0.161570059333638,1780,0.812414422638065
"Montague",8604,13320,0.645945945945946,885,8604,0.102859135285914,7526,0.874709437470944
"Montgomery",204632,311880,0.656124150314223,45835,203309,0.22544501227196,150314,0.739337658441092
"Moore",5284,9667,0.546601841315817,1098,5267,0.2084678184925,3977,0.755078792481488
"Morris",4973,8561,0.580890082934237,1425,4967,0.286893497080733,3446,0.69377894101067
"Motley",615,857,0.717619603267211,40,615,0.065040650406504,566,0.920325203252033
"Nacogdoches",22622,34769,0.65063706175041,6846,22478,0.304564463030519,14771,0.657131417385888
"Navarro",16433,27786,0.591412941769236,4002,16397,0.244069037018967,11994,0.731475269866439
"Newton",5534,9581,0.577601502974637,1156,5523,0.209306536302734,4288,0.776389643309795
"Nolan",4857,8748,0.555212620027435,1029,4745,0.216859852476291,3552,0.748577449947313
"Nueces",104405,199467,0.523419914070999,49198,104135,0.472444423104624,50766,0.487501800547366
"Ochiltree",3002,5295,0.566949952785647,274,2982,0.091884641180416,2628,0.881287726358149
"Oldham",948,1413,0.670912951167728,78,945,0.082539682539683,850,0.899470899470899
"Orange",32000,53040,0.603318250377074,5735,31913,0.179707329301539,25513,0.799454767649547
"Palo Pinto",10270,17495,0.587024864246928,1708,10250,0.166634146341463,8284,0.80819512195122
"Panola",10416,16348,0.637142158062148,1835,10413,0.176222030154614,8445,0.811005473926822
"Parker",56817,85221,0.666701869257577,8344,56471,0.147757255936675,46473,0.822953374298312
"Parmer",2466,4463,0.552543132422138,485,2459,0.197234648230988,1915,0.778771858479056
"Pecos",4185,8170,0.512239902080783,1554,4175,0.372215568862275,2468,0.591137724550898
"Polk",19852,38530,0.5152348819102,4187,19816,0.211293903916027,15176,0.76584578118692
"Potter",28651,54999,0.520936744304442,7657,28505,0.268619540431503,19630,0.688651113839677
"Presidio",2208,4806,0.459425717852684,1458,2203,0.66182478438493,652,0.295960054471176
"Rains",4701,7220,0.651108033240997,628,4691,0.133873374547005,3968,0.845875079940311
"Randall",54305,85106,0.638086621389796,8367,53929,0.15514843590647,43462,0.805911476200189
"Reagan",904,1893,0.477548864236661,167,900,0.185555555555556,709,0.787777777777778
"Real",1681,2522,0.666534496431404,262,1678,0.156138259833135,1382,0.823599523241955
"Red River",5161,8243,0.626106999878685,1149,5150,0.223106796116505,3926,0.762330097087379
"Reeves",3184,7103,0.44826129804308,1659,3184,0.521042713567839,1417,0.445037688442211
"Refugio",2948,5085,0.579744346116028,1034,2945,0.351103565365025,1830,0.621392190152801
"Roberts",554,716,0.773743016759777,20,550,0.036363636363636,524,0.952727272727273
"Robertson",7035,11505,0.611473272490222,2203,7013,0.314130899757593,4668,0.66562098959076
"Rockwall",39948,57428,0.695618861879223,9655,39618,0.243702357514261,28451,0.7181331717906
"Runnels",3782,6679,0.566252432998952,453,3776,0.119968220338983,3250,0.860699152542373
"Rusk",18994,31331,0.606236634643005,3935,18994,0.207170685479625,14675,0.772612403917026
"Sabine",4651,7710,0.603242542153048,614,4648,0.13209982788296,3998,0.860154905335628
"San Augustine",3569,6181,0.577414657822359,910,3568,0.255044843049327,2622,0.734865470852018
"San Jacinto",10343,17574,0.588539888471606,2038,10319,0.197499757728462,8059,0.780986529702491
"San Patricio",21656,41354,0.523673647047444,7871,21587,0.364617593922268,13030,0.603604020938528
"San Saba",2357,3776,0.624205508474576,293,2354,0.12446898895497,2025,0.860237892948173
"Schleicher",1059,1823,0.580910586944597,208,1056,0.196969696969697,821,0.777462121212121
"Scurry",5289,9486,0.557558507273877,733,5268,0.13914198936978,4410,0.837129840546697
"Shackelford",1504,2328,0.646048109965636,103,1502,0.068575233022637,1378,0.917443408788282
"Shelby",9086,15179,0.598590157454378,1758,9081,0.193591014205484,7179,0.790551701354476
"Sherman",935,1518,0.615942028985507,96,933,0.102893890675241,807,0.864951768488746
"Smith",84768,135216,0.626908058217962,22300,83647,0.266596530658601,58930,0.704508231018447
"Somervell",3897,6018,0.647557328015952,541,3877,0.139540882125355,3206,0.82692803714212
"Starr",11740,32064,0.366142714570858,9289,11740,0.791226575809199,2224,0.189437819420784
"Stephens",3461,5726,0.604435906391897,348,3454,0.100752750434279,3034,0.878401852924146
"Sterling",633,935,0.677005347593583,70,633,0.110584518167457,549,0.867298578199052
"Stonewall",701,998,0.702404809619238,135,701,0.192582025677603,555,0.791726105563481
"Sutton",1416,2536,0.558359621451104,313,1415,0.221201413427562,1075,0.759717314487632
"Swisher",2204,4065,0.542189421894219,462,2190,0.210958904109589,1671,0.763013698630137
"Tarrant",668514,1077598,0.620374202624726,288392,663501,0.434651944759691,345921,0.521357164495607
"Taylor",45759,78621,0.582020070973404,10085,45387,0.22220018948157,33250,0.732588626699275
